آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.3,1,CPI y/y,Neutral,24,17,7,70.8,29.2,2.43,2020-11-06_2020-12-05|2021-07-29_2021-08-27|2021-09-23_2021-10-22|2022-07-28_2022-08-26|2022-09-22_2022-10-21|2022-11-03_2022-12-02|2023-02-02_2023-03-03|2023-05-04_2023-06-02|2023-06-15_2023-07-14|2023-07-27_2023-08-25|2023-09-21_2023-10-20|2023-11-02_2023-12-01|2024-02-01_2024-03-01|2024-03-21_2024-04-19|2024-06-13_2024-07-12|2024-08-01_2024-08-30|2024-09-19_2024-10-18|2024-11-08_2024-12-07|2024-12-19_2025-01-17|2025-01-30_2025-02-28|2025-03-20_2025-04-18|2025-05-08_2025-06-06|2025-07-31_2025-08-29|2026-01-29_2026-02-27
0.3,1,CPI y/y,Bad,2,2,0,100.0,0.0,inf,2021-06-17_2021-07-16|2022-06-16_2022-07-15
0.3,1,CPI y/y,Good,1,0,1,0.0,100.0,0.0,2025-12-11_2026-01-09
0.0,2,CPI m/m|Core CPI m/m,Good|Good,8,6,2,75.0,25.0,3.0,2020-11-06_2020-12-05|2022-07-28_2022-08-26|2022-11-03_2022-12-02|2023-06-15_2023-07-14|2023-11-02_2023-12-01|2024-06-13_2024-07-12|2025-03-20_2025-04-18|2025-05-08_2025-06-06
0.0,2,CPI m/m|Core CPI m/m,Bad|Bad,7,6,1,85.7,14.3,6.0,2021-06-17_2021-07-16|2022-06-16_2022-07-15|2022-09-22_2022-10-21|2024-02-01_2024-03-01|2024-03-21_2024-04-19|2024-09-19_2024-10-18|2025-01-30_2025-02-28
0.0,2,CPI m/m|Core CPI m/m,Neutral|Good,2,0,2,0.0,100.0,0.0,2021-07-29_2021-08-27|2024-12-19_2025-01-17
0.0,2,CPI m/m|Core CPI m/m,Bad|Neutral,2,2,0,100.0,0.0,inf,2021-09-23_2021-10-22|2023-09-21_2023-10-20
0.0,2,CPI m/m|Core CPI m/m,Neutral|Neutral,5,4,1,80.0,20.0,4.0,2023-02-02_2023-03-03|2023-07-27_2023-08-25|2024-08-01_2024-08-30|2024-11-08_2024-12-07|2025-07-31_2025-08-29
0.0,2,CPI m/m|Core CPI m/m,Neutral|Bad,1,1,0,100.0,0.0,inf,2023-05-04_2023-06-02
0.0,2,CPI m/m|Core CPI m/m,Good|Neutral,1,0,1,0.0,100.0,0.0,2026-01-29_2026-02-27
0.1,2,CPI m/m|Core CPI m/m,Neutral|Good,2,1,1,50.0,50.0,1.0,2020-11-06_2020-12-05|2021-07-29_2021-08-27
0.1,2,CPI m/m|Core CPI m/m,Bad|Bad,5,4,1,80.0,20.0,4.0,2021-06-17_2021-07-16|2022-06-16_2022-07-15|2022-09-22_2022-10-21|2024-03-21_2024-04-19|2025-01-30_2025-02-28
0.1,2,CPI m/m|Core CPI m/m,Bad|Neutral,2,2,0,100.0,0.0,inf,2021-09-23_2021-10-22|2023-09-21_2023-10-20
0.1,2,CPI m/m|Core CPI m/m,Good|Good,3,3,0,100.0,0.0,inf,2022-07-28_2022-08-26|2022-11-03_2022-12-02|2025-03-20_2025-04-18
0.1,2,CPI m/m|Core CPI m/m,Neutral|Neutral,11,6,5,54.5,45.5,1.2,2023-02-02_2023-03-03|2023-06-15_2023-07-14|2023-07-27_2023-08-25|2023-11-02_2023-12-01|2024-08-01_2024-08-30|2024-09-19_2024-10-18|2024-11-08_2024-12-07|2024-12-19_2025-01-17|2025-05-08_2025-06-06|2025-07-31_2025-08-29|2026-01-29_2026-02-27
0.1,2,CPI m/m|Core CPI m/m,Neutral|Bad,2,2,0,100.0,0.0,inf,2023-05-04_2023-06-02|2024-02-01_2024-03-01
0.1,2,CPI m/m|Core CPI m/m,Good|Neutral,1,1,0,100.0,0.0,inf,2024-06-13_2024-07-12
0.2,2,CPI m/m|Core CPI m/m,Neutral|Neutral,25,18,7,72.0,28.0,2.57,2020-11-06_2020-12-05|2021-07-29_2021-08-27|2021-09-23_2021-10-22|2022-06-16_2022-07-15|2022-07-28_2022-08-26|2022-09-22_2022-10-21|2022-11-03_2022-12-02|2023-02-02_2023-03-03|2023-05-04_2023-06-02|2023-06-15_2023-07-14|2023-07-27_2023-08-25|2023-09-21_2023-10-20|2023-11-02_2023-12-01|2024-02-01_2024-03-01|2024-03-21_2024-04-19|2024-06-13_2024-07-12|2024-08-01_2024-08-30|2024-09-19_2024-10-18|2024-11-08_2024-12-07|2024-12-19_2025-01-17|2025-01-30_2025-02-28|2025-03-20_2025-04-18|2025-05-08_2025-06-06|2025-07-31_2025-08-29|2026-01-29_2026-02-27
0.2,2,CPI m/m|Core CPI m/m,Bad|Bad,1,1,0,100.0,0.0,inf,2021-06-17_2021-07-16
0.3,2,CPI m/m|Core CPI m/m,Neutral|Neutral,25,18,7,72.0,28.0,2.57,2020-11-06_2020-12-05|2021-07-29_2021-08-27|2021-09-23_2021-10-22|2022-06-16_2022-07-15|2022-07-28_2022-08-26|2022-09-22_2022-10-21|2022-11-03_2022-12-02|2023-02-02_2023-03-03|2023-05-04_2023-06-02|2023-06-15_2023-07-14|2023-07-27_2023-08-25|2023-09-21_2023-10-20|2023-11-02_2023-12-01|2024-02-01_2024-03-01|2024-03-21_2024-04-19|2024-06-13_2024-07-12|2024-08-01_2024-08-30|2024-09-19_2024-10-18|2024-11-08_2024-12-07|2024-12-19_2025-01-17|2025-01-30_2025-02-28|2025-03-20_2025-04-18|2025-05-08_2025-06-06|2025-07-31_2025-08-29|2026-01-29_2026-02-27
0.3,2,CPI m/m|Core CPI m/m,Bad|Bad,1,1,0,100.0,0.0,inf,2021-06-17_2021-07-16
0.0,2,CPI m/m|PPI m/m,Good|Bad,2,1,1,50.0,50.0,1.0,2020-11-06_2020-12-05|2026-01-29_2026-02-27
0.0,2,CPI m/m|PPI m/m,Bad|Bad,6,6,0,100.0,0.0,inf,2021-06-17_2021-07-16|2022-06-16_2022-07-15|2022-09-22_2022-10-21|2023-09-21_2023-10-20|2024-02-01_2024-03-01|2025-01-30_2025-02-28
0.0,2,CPI m/m|PPI m/m,Neutral|Bad,4,2,2,50.0,50.0,1.0,2021-07-29_2021-08-27|2023-02-02_2023-03-03|2023-07-27_2023-08-25|2025-07-31_2025-08-29
0.0,2,CPI m/m|PPI m/m,Bad|Good,3,2,1,66.7,33.3,2.0,2021-09-23_2021-10-22|2024-03-21_2024-04-19|2024-09-19_2024-10-18
0.0,2,CPI m/m|PPI m/m,Good|Good,7,5,2,71.4,28.6,2.5,2022-07-28_2022-08-26|2022-11-03_2022-12-02|2023-06-15_2023-07-14|2023-11-02_2023-12-01|2024-06-13_2024-07-12|2025-03-20_2025-04-18|2025-05-08_2025-06-06
0.0,2,CPI m/m|PPI m/m,Neutral|Good,3,2,1,66.7,33.3,2.0,2023-05-04_2023-06-02|2024-08-01_2024-08-30|2024-12-19_2025-01-17
0.0,2,CPI m/m|PPI m/m,Neutral|Neutral,1,1,0,100.0,0.0,inf,2024-11-08_2024-12-07
0.1,2,CPI m/m|PPI m/m,Neutral|Neutral,7,5,2,71.4,28.6,2.5,2020-11-06_2020-12-05|2023-05-04_2023-06-02|2023-06-15_2023-07-14|2023-07-27_2023-08-25|2024-08-01_2024-08-30|2024-09-19_2024-10-18|2024-11-08_2024-12-07
0.1,2,CPI m/m|PPI m/m,Bad|Bad,5,5,0,100.0,0.0,inf,2021-06-17_2021-07-16|2022-06-16_2022-07-15|2022-09-22_2022-10-21|2023-09-21_2023-10-20|2025-01-30_2025-02-28
0.1,2,CPI m/m|PPI m/m,Neutral|Bad,5,3,2,60.0,40.0,1.5,2021-07-29_2021-08-27|2023-02-02_2023-03-03|2024-02-01_2024-03-01|2025-07-31_2025-08-29|2026-01-29_2026-02-27
0.1,2,CPI m/m|PPI m/m,Bad|Neutral,2,1,1,50.0,50.0,1.0,2021-09-23_2021-10-22|2024-03-21_2024-04-19
0.1,2,CPI m/m|PPI m/m,Good|Good,4,4,0,100.0,0.0,inf,2022-07-28_2022-08-26|2022-11-03_2022-12-02|2024-06-13_2024-07-12|2025-03-20_2025-04-18
0.1,2,CPI m/m|PPI m/m,Neutral|Good,3,1,2,33.3,66.7,0.5,2023-11-02_2023-12-01|2024-12-19_2025-01-17|2025-05-08_2025-06-06
0.2,2,CPI m/m|PPI m/m,Neutral|Neutral,16,12,4,75.0,25.0,3.0,2020-11-06_2020-12-05|2021-09-23_2021-10-22|2022-09-22_2022-10-21|2022-11-03_2022-12-02|2023-05-04_2023-06-02|2023-06-15_2023-07-14|2023-07-27_2023-08-25|2023-09-21_2023-10-20|2024-02-01_2024-03-01|2024-03-21_2024-04-19|2024-06-13_2024-07-12|2024-08-01_2024-08-30|2024-09-19_2024-10-18|2024-11-08_2024-12-07|2024-12-19_2025-01-17|2025-01-30_2025-02-28
0.2,2,CPI m/m|PPI m/m,Bad|Bad,1,1,0,100.0,0.0,inf,2021-06-17_2021-07-16
0.2,2,CPI m/m|PPI m/m,Neutral|Bad,5,3,2,60.0,40.0,1.5,2021-07-29_2021-08-27|2022-06-16_2022-07-15|2023-02-02_2023-03-03|2025-07-31_2025-08-29|2026-01-29_2026-02-27
