آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,CPI y/y,Neutral,6,5,1,83.3,16.7,5.0,2018-01-13_2018-01-17|2020-10-14_2020-10-18|2021-01-14_2021-01-18|2024-09-12_2024-09-16|2025-01-16_2025-01-20|2026-01-14_2026-01-18
0.0,1,CPI y/y,Bad,8,7,1,87.5,12.5,7.0,2018-02-15_2018-02-19|2019-04-11_2019-04-15|2019-08-14_2019-08-18|2021-07-14_2021-07-18|2022-02-11_2022-02-15|2023-02-15_2023-02-19|2023-10-13_2023-10-17|2024-10-11_2024-10-15
0.0,1,CPI y/y,Good,7,6,1,85.7,14.3,6.0,2018-09-14_2018-09-18|2020-05-13_2020-05-17|2022-12-14_2022-12-18|2023-05-11_2023-05-15|2023-06-14_2023-06-18|2024-06-13_2024-06-17|2024-07-12_2024-07-16
0.1,1,CPI y/y,Neutral,10,9,1,90.0,10.0,9.0,2018-01-13_2018-01-17|2018-09-14_2018-09-18|2019-04-11_2019-04-15|2020-10-14_2020-10-18|2021-01-14_2021-01-18|2023-05-11_2023-05-15|2023-06-14_2023-06-18|2024-09-12_2024-09-16|2025-01-16_2025-01-20|2026-01-14_2026-01-18
0.1,1,CPI y/y,Bad,7,6,1,85.7,14.3,6.0,2018-02-15_2018-02-19|2019-08-14_2019-08-18|2021-07-14_2021-07-18|2022-02-11_2022-02-15|2023-02-15_2023-02-19|2023-10-13_2023-10-17|2024-10-11_2024-10-15
0.1,1,CPI y/y,Good,4,3,1,75.0,25.0,3.0,2020-05-13_2020-05-17|2022-12-14_2022-12-18|2024-06-13_2024-06-17|2024-07-12_2024-07-16
0.2,1,CPI y/y,Neutral,16,13,3,81.2,18.8,4.33,2018-01-13_2018-01-17|2018-09-14_2018-09-18|2019-04-11_2019-04-15|2019-08-14_2019-08-18|2020-05-13_2020-05-17|2020-10-14_2020-10-18|2021-01-14_2021-01-18|2023-05-11_2023-05-15|2023-06-14_2023-06-18|2023-10-13_2023-10-17|2024-06-13_2024-06-17|2024-07-12_2024-07-16|2024-09-12_2024-09-16|2024-10-11_2024-10-15|2025-01-16_2025-01-20|2026-01-14_2026-01-18
0.2,1,CPI y/y,Bad,4,4,0,100.0,0.0,inf,2018-02-15_2018-02-19|2021-07-14_2021-07-18|2022-02-11_2022-02-15|2023-02-15_2023-02-19
0.2,1,CPI y/y,Good,1,1,0,100.0,0.0,inf,2022-12-14_2022-12-18
0.3,1,CPI y/y,Neutral,20,17,3,85.0,15.0,5.67,2018-01-13_2018-01-17|2018-02-15_2018-02-19|2018-09-14_2018-09-18|2019-04-11_2019-04-15|2019-08-14_2019-08-18|2020-05-13_2020-05-17|2020-10-14_2020-10-18|2021-01-14_2021-01-18|2022-02-11_2022-02-15|2022-12-14_2022-12-18|2023-02-15_2023-02-19|2023-05-11_2023-05-15|2023-06-14_2023-06-18|2023-10-13_2023-10-17|2024-06-13_2024-06-17|2024-07-12_2024-07-16|2024-09-12_2024-09-16|2024-10-11_2024-10-15|2025-01-16_2025-01-20|2026-01-14_2026-01-18
0.3,1,CPI y/y,Bad,1,1,0,100.0,0.0,inf,2021-07-14_2021-07-18
