آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,Core CPI m/m,Bad,6,2,4,33.3,66.7,0.5,2018-02-15_2018-03-01|2019-07-12_2019-07-26|2020-08-13_2020-08-27|2022-05-12_2022-05-26|2024-03-13_2024-03-27|2024-10-11_2024-10-25
0.0,1,Core CPI m/m,Neutral,7,5,2,71.4,28.6,2.5,2019-01-12_2019-01-26|2020-02-14_2020-02-28|2021-10-14_2021-10-28|2023-02-15_2023-03-01|2023-08-11_2023-08-25|2024-12-12_2024-12-26|2026-02-14_2026-02-28
0.0,1,Core CPI m/m,Good,8,6,2,75.0,25.0,3.0,2019-05-11_2019-05-25|2020-05-13_2020-05-27|2020-06-11_2020-06-25|2020-11-13_2020-11-27|2021-02-11_2021-02-25|2022-12-14_2022-12-28|2023-07-13_2023-07-27|2025-10-25_2025-11-08
0.1,1,Core CPI m/m,Neutral,15,9,6,60.0,40.0,1.5,2018-02-15_2018-03-01|2019-01-12_2019-01-26|2019-05-11_2019-05-25|2019-07-12_2019-07-26|2020-02-14_2020-02-28|2020-06-11_2020-06-25|2021-10-14_2021-10-28|2022-12-14_2022-12-28|2023-02-15_2023-03-01|2023-07-13_2023-07-27|2023-08-11_2023-08-25|2024-10-11_2024-10-25|2024-12-12_2024-12-26|2025-10-25_2025-11-08|2026-02-14_2026-02-28
0.1,1,Core CPI m/m,Good,3,3,0,100.0,0.0,inf,2020-05-13_2020-05-27|2020-11-13_2020-11-27|2021-02-11_2021-02-25
0.1,1,Core CPI m/m,Bad,3,1,2,33.3,66.7,0.5,2020-08-13_2020-08-27|2022-05-12_2022-05-26|2024-03-13_2024-03-27
0.2,1,Core CPI m/m,Neutral,20,12,8,60.0,40.0,1.5,2018-02-15_2018-03-01|2019-01-12_2019-01-26|2019-05-11_2019-05-25|2019-07-12_2019-07-26|2020-02-14_2020-02-28|2020-05-13_2020-05-27|2020-06-11_2020-06-25|2020-11-13_2020-11-27|2021-02-11_2021-02-25|2021-10-14_2021-10-28|2022-05-12_2022-05-26|2022-12-14_2022-12-28|2023-02-15_2023-03-01|2023-07-13_2023-07-27|2023-08-11_2023-08-25|2024-03-13_2024-03-27|2024-10-11_2024-10-25|2024-12-12_2024-12-26|2025-10-25_2025-11-08|2026-02-14_2026-02-28
0.2,1,Core CPI m/m,Bad,1,1,0,100.0,0.0,inf,2020-08-13_2020-08-27
0.3,1,Core CPI m/m,Neutral,20,12,8,60.0,40.0,1.5,2018-02-15_2018-03-01|2019-01-12_2019-01-26|2019-05-11_2019-05-25|2019-07-12_2019-07-26|2020-02-14_2020-02-28|2020-05-13_2020-05-27|2020-06-11_2020-06-25|2020-11-13_2020-11-27|2021-02-11_2021-02-25|2021-10-14_2021-10-28|2022-05-12_2022-05-26|2022-12-14_2022-12-28|2023-02-15_2023-03-01|2023-07-13_2023-07-27|2023-08-11_2023-08-25|2024-03-13_2024-03-27|2024-10-11_2024-10-25|2024-12-12_2024-12-26|2025-10-25_2025-11-08|2026-02-14_2026-02-28
0.3,1,Core CPI m/m,Bad,1,1,0,100.0,0.0,inf,2020-08-13_2020-08-27
