آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.1,1,PPI m/m,Good,1,0,1,0.0,100.0,0.0,2023-12-15_2024-01-13
0.2,1,PPI m/m,Neutral,5,2,3,40.0,60.0,0.67,2016-09-22_2016-10-21|2023-05-04_2023-06-02|2023-09-21_2023-10-20|2023-12-15_2024-01-13|2025-01-31_2025-03-01
0.3,1,PPI m/m,Neutral,5,2,3,40.0,60.0,0.67,2016-09-22_2016-10-21|2023-05-04_2023-06-02|2023-09-21_2023-10-20|2023-12-15_2024-01-13|2025-01-31_2025-03-01
0.0,1,Core PPI m/m,Bad,2,0,2,0.0,100.0,0.0,2016-09-22_2016-10-21|2023-09-21_2023-10-20
0.0,1,Core PPI m/m,Neutral,2,2,0,100.0,0.0,inf,2023-05-04_2023-06-02|2025-01-31_2025-03-01
0.0,1,Core PPI m/m,Good,1,0,1,0.0,100.0,0.0,2023-12-15_2024-01-13
0.1,1,Core PPI m/m,Neutral,4,2,2,50.0,50.0,1.0,2016-09-22_2016-10-21|2023-05-04_2023-06-02|2023-09-21_2023-10-20|2025-01-31_2025-03-01
0.1,1,Core PPI m/m,Good,1,0,1,0.0,100.0,0.0,2023-12-15_2024-01-13
0.2,1,Core PPI m/m,Neutral,5,2,3,40.0,60.0,0.67,2016-09-22_2016-10-21|2023-05-04_2023-06-02|2023-09-21_2023-10-20|2023-12-15_2024-01-13|2025-01-31_2025-03-01
0.3,1,Core PPI m/m,Neutral,5,2,3,40.0,60.0,0.67,2016-09-22_2016-10-21|2023-05-04_2023-06-02|2023-09-21_2023-10-20|2023-12-15_2024-01-13|2025-01-31_2025-03-01
0.0,1,CPI y/y,Neutral,1,0,1,0.0,100.0,0.0,2016-09-22_2016-10-21
0.0,1,CPI y/y,Good,1,1,0,100.0,0.0,inf,2023-05-04_2023-06-02
0.0,1,CPI y/y,Bad,3,1,2,33.3,66.7,0.5,2023-09-21_2023-10-20|2023-12-15_2024-01-13|2025-01-31_2025-03-01
0.1,1,CPI y/y,Neutral,2,1,1,50.0,50.0,1.0,2016-09-22_2016-10-21|2023-05-04_2023-06-02
0.1,1,CPI y/y,Bad,3,1,2,33.3,66.7,0.5,2023-09-21_2023-10-20|2023-12-15_2024-01-13|2025-01-31_2025-03-01
0.2,1,CPI y/y,Neutral,5,2,3,40.0,60.0,0.67,2016-09-22_2016-10-21|2023-05-04_2023-06-02|2023-09-21_2023-10-20|2023-12-15_2024-01-13|2025-01-31_2025-03-01
0.3,1,CPI y/y,Neutral,5,2,3,40.0,60.0,0.67,2016-09-22_2016-10-21|2023-05-04_2023-06-02|2023-09-21_2023-10-20|2023-12-15_2024-01-13|2025-01-31_2025-03-01
0.0,2,CPI m/m|Core CPI m/m,Neutral|Good,1,0,1,0.0,100.0,0.0,2016-09-22_2016-10-21
0.0,2,CPI m/m|Core CPI m/m,Neutral|Bad,1,1,0,100.0,0.0,inf,2023-05-04_2023-06-02
0.0,2,CPI m/m|Core CPI m/m,Bad|Neutral,2,0,2,0.0,100.0,0.0,2023-09-21_2023-10-20|2023-12-15_2024-01-13
0.0,2,CPI m/m|Core CPI m/m,Bad|Bad,1,1,0,100.0,0.0,inf,2025-01-31_2025-03-01
0.1,2,CPI m/m|Core CPI m/m,Neutral|Neutral,2,0,2,0.0,100.0,0.0,2016-09-22_2016-10-21|2023-12-15_2024-01-13
0.1,2,CPI m/m|Core CPI m/m,Neutral|Bad,1,1,0,100.0,0.0,inf,2023-05-04_2023-06-02
0.1,2,CPI m/m|Core CPI m/m,Bad|Neutral,1,0,1,0.0,100.0,0.0,2023-09-21_2023-10-20
0.1,2,CPI m/m|Core CPI m/m,Bad|Bad,1,1,0,100.0,0.0,inf,2025-01-31_2025-03-01
0.2,2,CPI m/m|Core CPI m/m,Neutral|Neutral,5,2,3,40.0,60.0,0.67,2016-09-22_2016-10-21|2023-05-04_2023-06-02|2023-09-21_2023-10-20|2023-12-15_2024-01-13|2025-01-31_2025-03-01
0.3,2,CPI m/m|Core CPI m/m,Neutral|Neutral,5,2,3,40.0,60.0,0.67,2016-09-22_2016-10-21|2023-05-04_2023-06-02|2023-09-21_2023-10-20|2023-12-15_2024-01-13|2025-01-31_2025-03-01
0.0,2,CPI m/m|PPI m/m,Neutral|Bad,1,0,1,0.0,100.0,0.0,2016-09-22_2016-10-21
0.0,2,CPI m/m|PPI m/m,Neutral|Good,1,1,0,100.0,0.0,inf,2023-05-04_2023-06-02
0.0,2,CPI m/m|PPI m/m,Bad|Bad,2,1,1,50.0,50.0,1.0,2023-09-21_2023-10-20|2025-01-31_2025-03-01
0.0,2,CPI m/m|PPI m/m,Bad|Good,1,0,1,0.0,100.0,0.0,2023-12-15_2024-01-13
0.1,2,CPI m/m|PPI m/m,Neutral|Neutral,2,1,1,50.0,50.0,1.0,2016-09-22_2016-10-21|2023-05-04_2023-06-02
0.1,2,CPI m/m|PPI m/m,Bad|Bad,2,1,1,50.0,50.0,1.0,2023-09-21_2023-10-20|2025-01-31_2025-03-01
0.1,2,CPI m/m|PPI m/m,Neutral|Good,1,0,1,0.0,100.0,0.0,2023-12-15_2024-01-13
0.2,2,CPI m/m|PPI m/m,Neutral|Neutral,5,2,3,40.0,60.0,0.67,2016-09-22_2016-10-21|2023-05-04_2023-06-02|2023-09-21_2023-10-20|2023-12-15_2024-01-13|2025-01-31_2025-03-01
0.3,2,CPI m/m|PPI m/m,Neutral|Neutral,5,2,3,40.0,60.0,0.67,2016-09-22_2016-10-21|2023-05-04_2023-06-02|2023-09-21_2023-10-20|2023-12-15_2024-01-13|2025-01-31_2025-03-01
0.0,2,CPI m/m|Core PPI m/m,Neutral|Bad,1,0,1,0.0,100.0,0.0,2016-09-22_2016-10-21
0.0,2,CPI m/m|Core PPI m/m,Neutral|Neutral,1,1,0,100.0,0.0,inf,2023-05-04_2023-06-02
0.0,2,CPI m/m|Core PPI m/m,Bad|Bad,1,0,1,0.0,100.0,0.0,2023-09-21_2023-10-20
0.0,2,CPI m/m|Core PPI m/m,Bad|Good,1,0,1,0.0,100.0,0.0,2023-12-15_2024-01-13
0.0,2,CPI m/m|Core PPI m/m,Bad|Neutral,1,1,0,100.0,0.0,inf,2025-01-31_2025-03-01
0.1,2,CPI m/m|Core PPI m/m,Neutral|Neutral,2,1,1,50.0,50.0,1.0,2016-09-22_2016-10-21|2023-05-04_2023-06-02
0.1,2,CPI m/m|Core PPI m/m,Bad|Neutral,2,1,1,50.0,50.0,1.0,2023-09-21_2023-10-20|2025-01-31_2025-03-01
0.1,2,CPI m/m|Core PPI m/m,Neutral|Good,1,0,1,0.0,100.0,0.0,2023-12-15_2024-01-13
0.2,2,CPI m/m|Core PPI m/m,Neutral|Neutral,5,2,3,40.0,60.0,0.67,2016-09-22_2016-10-21|2023-05-04_2023-06-02|2023-09-21_2023-10-20|2023-12-15_2024-01-13|2025-01-31_2025-03-01
0.3,2,CPI m/m|Core PPI m/m,Neutral|Neutral,5,2,3,40.0,60.0,0.67,2016-09-22_2016-10-21|2023-05-04_2023-06-02|2023-09-21_2023-10-20|2023-12-15_2024-01-13|2025-01-31_2025-03-01
0.0,2,CPI m/m|CPI y/y,Neutral|Neutral,1,0,1,0.0,100.0,0.0,2016-09-22_2016-10-21
0.0,2,CPI m/m|CPI y/y,Neutral|Good,1,1,0,100.0,0.0,inf,2023-05-04_2023-06-02
0.0,2,CPI m/m|CPI y/y,Bad|Bad,3,1,2,33.3,66.7,0.5,2023-09-21_2023-10-20|2023-12-15_2024-01-13|2025-01-31_2025-03-01
0.1,2,CPI m/m|CPI y/y,Neutral|Neutral,2,1,1,50.0,50.0,1.0,2016-09-22_2016-10-21|2023-05-04_2023-06-02
0.1,2,CPI m/m|CPI y/y,Bad|Bad,2,1,1,50.0,50.0,1.0,2023-09-21_2023-10-20|2025-01-31_2025-03-01
0.1,2,CPI m/m|CPI y/y,Neutral|Bad,1,0,1,0.0,100.0,0.0,2023-12-15_2024-01-13
0.2,2,CPI m/m|CPI y/y,Neutral|Neutral,5,2,3,40.0,60.0,0.67,2016-09-22_2016-10-21|2023-05-04_2023-06-02|2023-09-21_2023-10-20|2023-12-15_2024-01-13|2025-01-31_2025-03-01
0.3,2,CPI m/m|CPI y/y,Neutral|Neutral,5,2,3,40.0,60.0,0.67,2016-09-22_2016-10-21|2023-05-04_2023-06-02|2023-09-21_2023-10-20|2023-12-15_2024-01-13|2025-01-31_2025-03-01
0.0,2,Core CPI m/m|PPI m/m,Good|Bad,1,0,1,0.0,100.0,0.0,2016-09-22_2016-10-21
0.0,2,Core CPI m/m|PPI m/m,Bad|Good,1,1,0,100.0,0.0,inf,2023-05-04_2023-06-02
0.0,2,Core CPI m/m|PPI m/m,Neutral|Bad,1,0,1,0.0,100.0,0.0,2023-09-21_2023-10-20
0.0,2,Core CPI m/m|PPI m/m,Neutral|Good,1,0,1,0.0,100.0,0.0,2023-12-15_2024-01-13
0.0,2,Core CPI m/m|PPI m/m,Bad|Bad,1,1,0,100.0,0.0,inf,2025-01-31_2025-03-01
0.1,2,Core CPI m/m|PPI m/m,Neutral|Neutral,1,0,1,0.0,100.0,0.0,2016-09-22_2016-10-21
0.1,2,Core CPI m/m|PPI m/m,Bad|Neutral,1,1,0,100.0,0.0,inf,2023-05-04_2023-06-02
0.1,2,Core CPI m/m|PPI m/m,Neutral|Bad,1,0,1,0.0,100.0,0.0,2023-09-21_2023-10-20
0.1,2,Core CPI m/m|PPI m/m,Neutral|Good,1,0,1,0.0,100.0,0.0,2023-12-15_2024-01-13
0.1,2,Core CPI m/m|PPI m/m,Bad|Bad,1,1,0,100.0,0.0,inf,2025-01-31_2025-03-01
0.2,2,Core CPI m/m|PPI m/m,Neutral|Neutral,5,2,3,40.0,60.0,0.67,2016-09-22_2016-10-21|2023-05-04_2023-06-02|2023-09-21_2023-10-20|2023-12-15_2024-01-13|2025-01-31_2025-03-01
0.3,2,Core CPI m/m|PPI m/m,Neutral|Neutral,5,2,3,40.0,60.0,0.67,2016-09-22_2016-10-21|2023-05-04_2023-06-02|2023-09-21_2023-10-20|2023-12-15_2024-01-13|2025-01-31_2025-03-01
0.0,2,Core CPI m/m|Core PPI m/m,Good|Bad,1,0,1,0.0,100.0,0.0,2016-09-22_2016-10-21
0.0,2,Core CPI m/m|Core PPI m/m,Bad|Neutral,2,2,0,100.0,0.0,inf,2023-05-04_2023-06-02|2025-01-31_2025-03-01
0.0,2,Core CPI m/m|Core PPI m/m,Neutral|Bad,1,0,1,0.0,100.0,0.0,2023-09-21_2023-10-20
0.0,2,Core CPI m/m|Core PPI m/m,Neutral|Good,1,0,1,0.0,100.0,0.0,2023-12-15_2024-01-13
0.1,2,Core CPI m/m|Core PPI m/m,Neutral|Neutral,2,0,2,0.0,100.0,0.0,2016-09-22_2016-10-21|2023-09-21_2023-10-20
0.1,2,Core CPI m/m|Core PPI m/m,Bad|Neutral,2,2,0,100.0,0.0,inf,2023-05-04_2023-06-02|2025-01-31_2025-03-01
0.1,2,Core CPI m/m|Core PPI m/m,Neutral|Good,1,0,1,0.0,100.0,0.0,2023-12-15_2024-01-13
0.2,2,Core CPI m/m|Core PPI m/m,Neutral|Neutral,5,2,3,40.0,60.0,0.67,2016-09-22_2016-10-21|2023-05-04_2023-06-02|2023-09-21_2023-10-20|2023-12-15_2024-01-13|2025-01-31_2025-03-01
0.3,2,Core CPI m/m|Core PPI m/m,Neutral|Neutral,5,2,3,40.0,60.0,0.67,2016-09-22_2016-10-21|2023-05-04_2023-06-02|2023-09-21_2023-10-20|2023-12-15_2024-01-13|2025-01-31_2025-03-01
0.0,2,Core CPI m/m|CPI y/y,Good|Neutral,1,0,1,0.0,100.0,0.0,2016-09-22_2016-10-21
0.0,2,Core CPI m/m|CPI y/y,Bad|Good,1,1,0,100.0,0.0,inf,2023-05-04_2023-06-02
0.0,2,Core CPI m/m|CPI y/y,Neutral|Bad,2,0,2,0.0,100.0,0.0,2023-09-21_2023-10-20|2023-12-15_2024-01-13
0.0,2,Core CPI m/m|CPI y/y,Bad|Bad,1,1,0,100.0,0.0,inf,2025-01-31_2025-03-01
0.1,2,Core CPI m/m|CPI y/y,Neutral|Neutral,1,0,1,0.0,100.0,0.0,2016-09-22_2016-10-21
0.1,2,Core CPI m/m|CPI y/y,Bad|Neutral,1,1,0,100.0,0.0,inf,2023-05-04_2023-06-02
0.1,2,Core CPI m/m|CPI y/y,Neutral|Bad,2,0,2,0.0,100.0,0.0,2023-09-21_2023-10-20|2023-12-15_2024-01-13
0.1,2,Core CPI m/m|CPI y/y,Bad|Bad,1,1,0,100.0,0.0,inf,2025-01-31_2025-03-01
0.2,2,Core CPI m/m|CPI y/y,Neutral|Neutral,5,2,3,40.0,60.0,0.67,2016-09-22_2016-10-21|2023-05-04_2023-06-02|2023-09-21_2023-10-20|2023-12-15_2024-01-13|2025-01-31_2025-03-01
0.3,2,Core CPI m/m|CPI y/y,Neutral|Neutral,5,2,3,40.0,60.0,0.67,2016-09-22_2016-10-21|2023-05-04_2023-06-02|2023-09-21_2023-10-20|2023-12-15_2024-01-13|2025-01-31_2025-03-01
0.0,2,PPI m/m|Core PPI m/m,Bad|Bad,2,0,2,0.0,100.0,0.0,2016-09-22_2016-10-21|2023-09-21_2023-10-20
0.0,2,PPI m/m|Core PPI m/m,Good|Neutral,1,1,0,100.0,0.0,inf,2023-05-04_2023-06-02
0.0,2,PPI m/m|Core PPI m/m,Good|Good,1,0,1,0.0,100.0,0.0,2023-12-15_2024-01-13
0.0,2,PPI m/m|Core PPI m/m,Bad|Neutral,1,1,0,100.0,0.0,inf,2025-01-31_2025-03-01
0.1,2,PPI m/m|Core PPI m/m,Neutral|Neutral,2,1,1,50.0,50.0,1.0,2016-09-22_2016-10-21|2023-05-04_2023-06-02
0.1,2,PPI m/m|Core PPI m/m,Bad|Neutral,2,1,1,50.0,50.0,1.0,2023-09-21_2023-10-20|2025-01-31_2025-03-01
0.1,2,PPI m/m|Core PPI m/m,Good|Good,1,0,1,0.0,100.0,0.0,2023-12-15_2024-01-13
0.2,2,PPI m/m|Core PPI m/m,Neutral|Neutral,5,2,3,40.0,60.0,0.67,2016-09-22_2016-10-21|2023-05-04_2023-06-02|2023-09-21_2023-10-20|2023-12-15_2024-01-13|2025-01-31_2025-03-01
0.3,2,PPI m/m|Core PPI m/m,Neutral|Neutral,5,2,3,40.0,60.0,0.67,2016-09-22_2016-10-21|2023-05-04_2023-06-02|2023-09-21_2023-10-20|2023-12-15_2024-01-13|2025-01-31_2025-03-01
0.0,2,PPI m/m|CPI y/y,Bad|Neutral,1,0,1,0.0,100.0,0.0,2016-09-22_2016-10-21
0.0,2,PPI m/m|CPI y/y,Good|Good,1,1,0,100.0,0.0,inf,2023-05-04_2023-06-02
0.0,2,PPI m/m|CPI y/y,Bad|Bad,2,1,1,50.0,50.0,1.0,2023-09-21_2023-10-20|2025-01-31_2025-03-01
0.0,2,PPI m/m|CPI y/y,Good|Bad,1,0,1,0.0,100.0,0.0,2023-12-15_2024-01-13
0.1,2,PPI m/m|CPI y/y,Neutral|Neutral,2,1,1,50.0,50.0,1.0,2016-09-22_2016-10-21|2023-05-04_2023-06-02
0.1,2,PPI m/m|CPI y/y,Bad|Bad,2,1,1,50.0,50.0,1.0,2023-09-21_2023-10-20|2025-01-31_2025-03-01
0.1,2,PPI m/m|CPI y/y,Good|Bad,1,0,1,0.0,100.0,0.0,2023-12-15_2024-01-13
0.2,2,PPI m/m|CPI y/y,Neutral|Neutral,5,2,3,40.0,60.0,0.67,2016-09-22_2016-10-21|2023-05-04_2023-06-02|2023-09-21_2023-10-20|2023-12-15_2024-01-13|2025-01-31_2025-03-01
0.3,2,PPI m/m|CPI y/y,Neutral|Neutral,5,2,3,40.0,60.0,0.67,2016-09-22_2016-10-21|2023-05-04_2023-06-02|2023-09-21_2023-10-20|2023-12-15_2024-01-13|2025-01-31_2025-03-01
0.0,2,Core PPI m/m|CPI y/y,Bad|Neutral,1,0,1,0.0,100.0,0.0,2016-09-22_2016-10-21
0.0,2,Core PPI m/m|CPI y/y,Neutral|Good,1,1,0,100.0,0.0,inf,2023-05-04_2023-06-02
0.0,2,Core PPI m/m|CPI y/y,Bad|Bad,1,0,1,0.0,100.0,0.0,2023-09-21_2023-10-20
0.0,2,Core PPI m/m|CPI y/y,Good|Bad,1,0,1,0.0,100.0,0.0,2023-12-15_2024-01-13
0.0,2,Core PPI m/m|CPI y/y,Neutral|Bad,1,1,0,100.0,0.0,inf,2025-01-31_2025-03-01
0.1,2,Core PPI m/m|CPI y/y,Neutral|Neutral,2,1,1,50.0,50.0,1.0,2016-09-22_2016-10-21|2023-05-04_2023-06-02
0.1,2,Core PPI m/m|CPI y/y,Neutral|Bad,2,1,1,50.0,50.0,1.0,2023-09-21_2023-10-20|2025-01-31_2025-03-01
0.1,2,Core PPI m/m|CPI y/y,Good|Bad,1,0,1,0.0,100.0,0.0,2023-12-15_2024-01-13
0.2,2,Core PPI m/m|CPI y/y,Neutral|Neutral,5,2,3,40.0,60.0,0.67,2016-09-22_2016-10-21|2023-05-04_2023-06-02|2023-09-21_2023-10-20|2023-12-15_2024-01-13|2025-01-31_2025-03-01
0.3,2,Core PPI m/m|CPI y/y,Neutral|Neutral,5,2,3,40.0,60.0,0.67,2016-09-22_2016-10-21|2023-05-04_2023-06-02|2023-09-21_2023-10-20|2023-12-15_2024-01-13|2025-01-31_2025-03-01
