آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,Core PPI m/m,Bad,4,3,1,75.0,25.0,3.0,2018-06-14_2018-06-18|2023-08-12_2023-08-16|2024-07-13_2024-07-17|2026-02-28_2026-03-04
0.0,1,Core PPI m/m,Neutral,6,5,1,83.3,16.7,5.0,2018-10-11_2018-10-15|2019-06-12_2019-06-16|2021-01-16_2021-01-20|2023-05-12_2023-05-16|2023-06-15_2023-06-19|2023-09-15_2023-09-19
0.0,1,Core PPI m/m,Good,2,2,0,100.0,0.0,inf,2019-12-13_2019-12-17|2024-08-14_2024-08-18
0.1,1,Core PPI m/m,Neutral,8,6,2,75.0,25.0,3.0,2018-06-14_2018-06-18|2018-10-11_2018-10-15|2019-06-12_2019-06-16|2021-01-16_2021-01-20|2023-05-12_2023-05-16|2023-06-15_2023-06-19|2023-08-12_2023-08-16|2023-09-15_2023-09-19
0.1,1,Core PPI m/m,Good,2,2,0,100.0,0.0,inf,2019-12-13_2019-12-17|2024-08-14_2024-08-18
0.1,1,Core PPI m/m,Bad,2,2,0,100.0,0.0,inf,2024-07-13_2024-07-17|2026-02-28_2026-03-04
0.2,1,Core PPI m/m,Neutral,10,8,2,80.0,20.0,4.0,2018-06-14_2018-06-18|2018-10-11_2018-10-15|2019-06-12_2019-06-16|2021-01-16_2021-01-20|2023-05-12_2023-05-16|2023-06-15_2023-06-19|2023-08-12_2023-08-16|2023-09-15_2023-09-19|2024-07-13_2024-07-17|2024-08-14_2024-08-18
0.2,1,Core PPI m/m,Good,1,1,0,100.0,0.0,inf,2019-12-13_2019-12-17
0.2,1,Core PPI m/m,Bad,1,1,0,100.0,0.0,inf,2026-02-28_2026-03-04
0.3,1,Core PPI m/m,Neutral,10,8,2,80.0,20.0,4.0,2018-06-14_2018-06-18|2018-10-11_2018-10-15|2019-06-12_2019-06-16|2021-01-16_2021-01-20|2023-05-12_2023-05-16|2023-06-15_2023-06-19|2023-08-12_2023-08-16|2023-09-15_2023-09-19|2024-07-13_2024-07-17|2024-08-14_2024-08-18
0.3,1,Core PPI m/m,Good,1,1,0,100.0,0.0,inf,2019-12-13_2019-12-17
0.3,1,Core PPI m/m,Bad,1,1,0,100.0,0.0,inf,2026-02-28_2026-03-04
