آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,Core CPI m/m,Good,31,21,10,67.7,32.3,2.1,2017-12-13_2018-01-11|2018-04-11_2018-05-10|2018-05-10_2018-06-08|2018-09-13_2018-10-12|2018-10-11_2018-11-09|2019-02-15_2019-03-16|2019-03-14_2019-04-12|2019-04-12_2019-05-11|2019-05-10_2019-06-08|2019-06-12_2019-07-11|2019-09-12_2019-10-11|2019-10-09_2019-11-07|2020-03-13_2020-04-11|2020-04-10_2020-05-09|2020-05-14_2020-06-12|2020-10-15_2020-11-13|2021-01-16_2021-02-14|2021-02-18_2021-03-19|2021-07-15_2021-08-13|2021-09-11_2021-10-10|2022-03-16_2022-04-14|2022-07-15_2022-08-13|2022-10-13_2022-11-11|2022-11-16_2022-12-15|2022-12-10_2023-01-08|2023-06-15_2023-07-14|2024-05-15_2024-06-13|2024-06-14_2024-07-13|2025-02-14_2025-03-15|2025-03-14_2025-04-12|2025-05-16_2025-06-14
0.0,1,Core CPI m/m,Bad,24,14,10,58.3,41.7,1.4,2018-01-12_2018-02-10|2019-08-10_2019-09-08|2020-07-11_2020-08-09|2020-08-12_2020-09-10|2020-09-11_2020-10-10|2020-11-14_2020-12-13|2021-04-10_2021-05-09|2021-05-14_2021-06-12|2021-06-16_2021-07-15|2021-10-15_2021-11-13|2021-11-10_2021-12-09|2021-12-15_2022-01-13|2022-01-14_2022-02-12|2022-04-14_2022-05-13|2022-05-13_2022-06-11|2022-06-15_2022-07-14|2022-09-15_2022-10-14|2023-02-17_2023-03-18|2023-04-14_2023-05-13|2024-02-17_2024-03-17|2024-03-15_2024-04-13|2024-08-14_2024-09-12|2024-09-13_2024-10-12|2025-01-15_2025-02-13
0.0,1,Core CPI m/m,Neutral,25,21,4,84.0,16.0,5.25,2018-02-16_2018-03-17|2018-03-15_2018-04-13|2018-06-14_2018-07-13|2018-07-12_2018-08-10|2018-08-10_2018-09-08|2018-11-10_2018-12-09|2018-12-12_2019-01-10|2019-01-16_2019-02-14|2019-11-15_2019-12-14|2020-01-16_2020-02-14|2020-02-20_2020-03-20|2022-02-16_2022-03-17|2023-01-19_2023-02-17|2023-03-16_2023-04-14|2023-07-14_2023-08-12|2023-09-15_2023-10-14|2023-10-12_2023-11-10|2023-11-16_2023-12-15|2023-12-14_2024-01-12|2024-11-15_2024-12-14|2025-07-17_2025-08-15|2025-08-15_2025-09-13|2025-09-11_2025-10-10|2026-01-15_2026-02-13|2026-01-31_2026-03-01
0.1,1,Core CPI m/m,Neutral,58,42,16,72.4,27.6,2.62,2017-12-13_2018-01-11|2018-01-12_2018-02-10|2018-02-16_2018-03-17|2018-03-15_2018-04-13|2018-04-11_2018-05-10|2018-05-10_2018-06-08|2018-06-14_2018-07-13|2018-07-12_2018-08-10|2018-08-10_2018-09-08|2018-09-13_2018-10-12|2018-10-11_2018-11-09|2018-11-10_2018-12-09|2018-12-12_2019-01-10|2019-01-16_2019-02-14|2019-02-15_2019-03-16|2019-03-14_2019-04-12|2019-04-12_2019-05-11|2019-05-10_2019-06-08|2019-06-12_2019-07-11|2019-08-10_2019-09-08|2019-09-12_2019-10-11|2019-10-09_2019-11-07|2019-11-15_2019-12-14|2020-01-16_2020-02-14|2020-02-20_2020-03-20|2020-05-14_2020-06-12|2020-07-11_2020-08-09|2020-11-14_2020-12-13|2021-02-18_2021-03-19|2021-04-10_2021-05-09|2021-12-15_2022-01-13|2022-01-14_2022-02-12|2022-02-16_2022-03-17|2022-05-13_2022-06-11|2022-10-13_2022-11-11|2022-11-16_2022-12-15|2022-12-10_2023-01-08|2023-01-19_2023-02-17|2023-02-17_2023-03-18|2023-03-16_2023-04-14|2023-06-15_2023-07-14|2023-07-14_2023-08-12|2023-09-15_2023-10-14|2023-10-12_2023-11-10|2023-11-16_2023-12-15|2023-12-14_2024-01-12|2024-05-15_2024-06-13|2024-06-14_2024-07-13|2024-08-14_2024-09-12|2024-09-13_2024-10-12|2024-11-15_2024-12-14|2025-01-15_2025-02-13|2025-02-14_2025-03-15|2025-07-17_2025-08-15|2025-08-15_2025-09-13|2025-09-11_2025-10-10|2026-01-15_2026-02-13|2026-01-31_2026-03-01
0.1,1,Core CPI m/m,Good,10,6,4,60.0,40.0,1.5,2020-03-13_2020-04-11|2020-04-10_2020-05-09|2020-10-15_2020-11-13|2021-01-16_2021-02-14|2021-07-15_2021-08-13|2021-09-11_2021-10-10|2022-03-16_2022-04-14|2022-07-15_2022-08-13|2025-03-14_2025-04-12|2025-05-16_2025-06-14
0.1,1,Core CPI m/m,Bad,12,8,4,66.7,33.3,2.0,2020-08-12_2020-09-10|2020-09-11_2020-10-10|2021-05-14_2021-06-12|2021-06-16_2021-07-15|2021-10-15_2021-11-13|2021-11-10_2021-12-09|2022-04-14_2022-05-13|2022-06-15_2022-07-14|2022-09-15_2022-10-14|2023-04-14_2023-05-13|2024-02-17_2024-03-17|2024-03-15_2024-04-13
0.2,1,Core CPI m/m,Neutral,78,54,24,69.2,30.8,2.25,2017-12-13_2018-01-11|2018-01-12_2018-02-10|2018-02-16_2018-03-17|2018-03-15_2018-04-13|2018-04-11_2018-05-10|2018-05-10_2018-06-08|2018-06-14_2018-07-13|2018-07-12_2018-08-10|2018-08-10_2018-09-08|2018-09-13_2018-10-12|2018-10-11_2018-11-09|2018-11-10_2018-12-09|2018-12-12_2019-01-10|2019-01-16_2019-02-14|2019-02-15_2019-03-16|2019-03-14_2019-04-12|2019-04-12_2019-05-11|2019-05-10_2019-06-08|2019-06-12_2019-07-11|2019-08-10_2019-09-08|2019-09-12_2019-10-11|2019-10-09_2019-11-07|2019-11-15_2019-12-14|2020-01-16_2020-02-14|2020-02-20_2020-03-20|2020-03-13_2020-04-11|2020-04-10_2020-05-09|2020-05-14_2020-06-12|2020-07-11_2020-08-09|2020-09-11_2020-10-10|2020-10-15_2020-11-13|2020-11-14_2020-12-13|2021-01-16_2021-02-14|2021-02-18_2021-03-19|2021-04-10_2021-05-09|2021-05-14_2021-06-12|2021-07-15_2021-08-13|2021-09-11_2021-10-10|2021-10-15_2021-11-13|2021-11-10_2021-12-09|2021-12-15_2022-01-13|2022-01-14_2022-02-12|2022-02-16_2022-03-17|2022-03-16_2022-04-14|2022-04-14_2022-05-13|2022-05-13_2022-06-11|2022-06-15_2022-07-14|2022-07-15_2022-08-13|2022-09-15_2022-10-14|2022-10-13_2022-11-11|2022-11-16_2022-12-15|2022-12-10_2023-01-08|2023-01-19_2023-02-17|2023-02-17_2023-03-18|2023-03-16_2023-04-14|2023-04-14_2023-05-13|2023-06-15_2023-07-14|2023-07-14_2023-08-12|2023-09-15_2023-10-14|2023-10-12_2023-11-10|2023-11-16_2023-12-15|2023-12-14_2024-01-12|2024-02-17_2024-03-17|2024-03-15_2024-04-13|2024-05-15_2024-06-13|2024-06-14_2024-07-13|2024-08-14_2024-09-12|2024-09-13_2024-10-12|2024-11-15_2024-12-14|2025-01-15_2025-02-13|2025-02-14_2025-03-15|2025-03-14_2025-04-12|2025-05-16_2025-06-14|2025-07-17_2025-08-15|2025-08-15_2025-09-13|2025-09-11_2025-10-10|2026-01-15_2026-02-13|2026-01-31_2026-03-01
0.2,1,Core CPI m/m,Bad,2,2,0,100.0,0.0,inf,2020-08-12_2020-09-10|2021-06-16_2021-07-15
0.3,1,Core CPI m/m,Neutral,78,54,24,69.2,30.8,2.25,2017-12-13_2018-01-11|2018-01-12_2018-02-10|2018-02-16_2018-03-17|2018-03-15_2018-04-13|2018-04-11_2018-05-10|2018-05-10_2018-06-08|2018-06-14_2018-07-13|2018-07-12_2018-08-10|2018-08-10_2018-09-08|2018-09-13_2018-10-12|2018-10-11_2018-11-09|2018-11-10_2018-12-09|2018-12-12_2019-01-10|2019-01-16_2019-02-14|2019-02-15_2019-03-16|2019-03-14_2019-04-12|2019-04-12_2019-05-11|2019-05-10_2019-06-08|2019-06-12_2019-07-11|2019-08-10_2019-09-08|2019-09-12_2019-10-11|2019-10-09_2019-11-07|2019-11-15_2019-12-14|2020-01-16_2020-02-14|2020-02-20_2020-03-20|2020-03-13_2020-04-11|2020-04-10_2020-05-09|2020-05-14_2020-06-12|2020-07-11_2020-08-09|2020-09-11_2020-10-10|2020-10-15_2020-11-13|2020-11-14_2020-12-13|2021-01-16_2021-02-14|2021-02-18_2021-03-19|2021-04-10_2021-05-09|2021-05-14_2021-06-12|2021-07-15_2021-08-13|2021-09-11_2021-10-10|2021-10-15_2021-11-13|2021-11-10_2021-12-09|2021-12-15_2022-01-13|2022-01-14_2022-02-12|2022-02-16_2022-03-17|2022-03-16_2022-04-14|2022-04-14_2022-05-13|2022-05-13_2022-06-11|2022-06-15_2022-07-14|2022-07-15_2022-08-13|2022-09-15_2022-10-14|2022-10-13_2022-11-11|2022-11-16_2022-12-15|2022-12-10_2023-01-08|2023-01-19_2023-02-17|2023-02-17_2023-03-18|2023-03-16_2023-04-14|2023-04-14_2023-05-13|2023-06-15_2023-07-14|2023-07-14_2023-08-12|2023-09-15_2023-10-14|2023-10-12_2023-11-10|2023-11-16_2023-12-15|2023-12-14_2024-01-12|2024-02-17_2024-03-17|2024-03-15_2024-04-13|2024-05-15_2024-06-13|2024-06-14_2024-07-13|2024-08-14_2024-09-12|2024-09-13_2024-10-12|2024-11-15_2024-12-14|2025-01-15_2025-02-13|2025-02-14_2025-03-15|2025-03-14_2025-04-12|2025-05-16_2025-06-14|2025-07-17_2025-08-15|2025-08-15_2025-09-13|2025-09-11_2025-10-10|2026-01-15_2026-02-13|2026-01-31_2026-03-01
0.3,1,Core CPI m/m,Bad,2,2,0,100.0,0.0,inf,2020-08-12_2020-09-10|2021-06-16_2021-07-15
0.0,1,PPI m/m,Good,24,15,9,62.5,37.5,1.67,2017-12-13_2018-01-11|2018-04-11_2018-05-10|2018-07-12_2018-08-10|2019-01-16_2019-02-14|2019-02-15_2019-03-16|2019-09-12_2019-10-11|2019-11-15_2019-12-14|2020-02-20_2020-03-20|2020-06-12_2020-07-11|2021-12-15_2022-01-13|2022-02-16_2022-03-17|2022-07-15_2022-08-13|2023-02-17_2023-03-18|2023-03-16_2023-04-14|2023-04-14_2023-05-13|2023-06-15_2023-07-14|2023-12-14_2024-01-12|2024-03-15_2024-04-13|2024-05-15_2024-06-13|2024-09-13_2024-10-12|2025-02-14_2025-03-15|2025-03-14_2025-04-12|2025-05-16_2025-06-14|2025-08-15_2025-09-13
0.0,1,PPI m/m,Bad,29,22,7,75.9,24.1,3.14,2018-02-16_2018-03-17|2018-03-15_2018-04-13|2018-06-14_2018-07-13|2018-10-11_2018-11-09|2019-03-14_2019-04-12|2020-03-13_2020-04-11|2020-05-14_2020-06-12|2020-08-12_2020-09-10|2020-10-15_2020-11-13|2021-02-18_2021-03-19|2021-03-13_2021-04-11|2021-06-16_2021-07-15|2021-07-15_2021-08-13|2021-08-13_2021-09-11|2022-03-16_2022-04-14|2022-06-15_2022-07-14|2022-09-15_2022-10-14|2022-11-16_2022-12-15|2023-01-19_2023-02-17|2023-07-14_2023-08-12|2023-09-15_2023-10-14|2024-02-17_2024-03-17|2024-06-14_2024-07-13|2024-08-14_2024-09-12|2024-11-15_2024-12-14|2025-01-15_2025-02-13|2025-07-17_2025-08-15|2026-01-15_2026-02-13|2026-01-31_2026-03-01
0.0,1,PPI m/m,Neutral,7,5,2,71.4,28.6,2.5,2018-09-13_2018-10-12|2019-04-12_2019-05-11|2019-07-13_2019-08-11|2020-11-14_2020-12-13|2021-10-15_2021-11-13|2022-04-14_2022-05-13|2023-11-16_2023-12-15
0.1,1,PPI m/m,Good,17,12,5,70.6,29.4,2.4,2017-12-13_2018-01-11|2018-07-12_2018-08-10|2019-01-16_2019-02-14|2019-09-12_2019-10-11|2019-11-15_2019-12-14|2020-02-20_2020-03-20|2020-06-12_2020-07-11|2021-12-15_2022-01-13|2022-02-16_2022-03-17|2022-07-15_2022-08-13|2023-02-17_2023-03-18|2023-03-16_2023-04-14|2023-12-14_2024-01-12|2024-05-15_2024-06-13|2025-02-14_2025-03-15|2025-03-14_2025-04-12|2025-08-15_2025-09-13
0.1,1,PPI m/m,Neutral,25,16,9,64.0,36.0,1.78,2018-02-16_2018-03-17|2018-04-11_2018-05-10|2018-06-14_2018-07-13|2018-09-13_2018-10-12|2019-02-15_2019-03-16|2019-04-12_2019-05-11|2019-07-13_2019-08-11|2020-03-13_2020-04-11|2020-08-12_2020-09-10|2020-10-15_2020-11-13|2020-11-14_2020-12-13|2021-02-18_2021-03-19|2021-08-13_2021-09-11|2021-10-15_2021-11-13|2022-04-14_2022-05-13|2022-11-16_2022-12-15|2023-04-14_2023-05-13|2023-06-15_2023-07-14|2023-07-14_2023-08-12|2023-11-16_2023-12-15|2024-03-15_2024-04-13|2024-06-14_2024-07-13|2024-08-14_2024-09-12|2024-09-13_2024-10-12|2025-05-16_2025-06-14
0.1,1,PPI m/m,Bad,18,14,4,77.8,22.2,3.5,2018-03-15_2018-04-13|2018-10-11_2018-11-09|2019-03-14_2019-04-12|2020-05-14_2020-06-12|2021-03-13_2021-04-11|2021-06-16_2021-07-15|2021-07-15_2021-08-13|2022-03-16_2022-04-14|2022-06-15_2022-07-14|2022-09-15_2022-10-14|2023-01-19_2023-02-17|2023-09-15_2023-10-14|2024-02-17_2024-03-17|2024-11-15_2024-12-14|2025-01-15_2025-02-13|2025-07-17_2025-08-15|2026-01-15_2026-02-13|2026-01-31_2026-03-01
0.2,1,PPI m/m,Good,11,8,3,72.7,27.3,2.67,2017-12-13_2018-01-11|2019-09-12_2019-10-11|2020-02-20_2020-03-20|2020-06-12_2020-07-11|2022-07-15_2022-08-13|2023-02-17_2023-03-18|2023-03-16_2023-04-14|2024-05-15_2024-06-13|2025-02-14_2025-03-15|2025-03-14_2025-04-12|2025-08-15_2025-09-13
0.2,1,PPI m/m,Neutral,37,24,13,64.9,35.1,1.85,2018-02-16_2018-03-17|2018-03-15_2018-04-13|2018-04-11_2018-05-10|2018-06-14_2018-07-13|2018-07-12_2018-08-10|2018-09-13_2018-10-12|2019-01-16_2019-02-14|2019-02-15_2019-03-16|2019-04-12_2019-05-11|2019-07-13_2019-08-11|2019-11-15_2019-12-14|2020-03-13_2020-04-11|2020-08-12_2020-09-10|2020-10-15_2020-11-13|2020-11-14_2020-12-13|2021-02-18_2021-03-19|2021-08-13_2021-09-11|2021-10-15_2021-11-13|2021-12-15_2022-01-13|2022-02-16_2022-03-17|2022-04-14_2022-05-13|2022-09-15_2022-10-14|2022-11-16_2022-12-15|2023-04-14_2023-05-13|2023-06-15_2023-07-14|2023-07-14_2023-08-12|2023-09-15_2023-10-14|2023-11-16_2023-12-15|2023-12-14_2024-01-12|2024-03-15_2024-04-13|2024-06-14_2024-07-13|2024-08-14_2024-09-12|2024-09-13_2024-10-12|2024-11-15_2024-12-14|2025-01-15_2025-02-13|2025-05-16_2025-06-14|2026-01-31_2026-03-01
0.2,1,PPI m/m,Bad,12,10,2,83.3,16.7,5.0,2018-10-11_2018-11-09|2019-03-14_2019-04-12|2020-05-14_2020-06-12|2021-03-13_2021-04-11|2021-06-16_2021-07-15|2021-07-15_2021-08-13|2022-03-16_2022-04-14|2022-06-15_2022-07-14|2023-01-19_2023-02-17|2024-02-17_2024-03-17|2025-07-17_2025-08-15|2026-01-15_2026-02-13
0.3,1,PPI m/m,Good,10,7,3,70.0,30.0,2.33,2017-12-13_2018-01-11|2019-09-12_2019-10-11|2020-02-20_2020-03-20|2020-06-12_2020-07-11|2022-07-15_2022-08-13|2023-02-17_2023-03-18|2023-03-16_2023-04-14|2024-05-15_2024-06-13|2025-03-14_2025-04-12|2025-08-15_2025-09-13
0.3,1,PPI m/m,Neutral,43,29,14,67.4,32.6,2.07,2018-02-16_2018-03-17|2018-03-15_2018-04-13|2018-04-11_2018-05-10|2018-06-14_2018-07-13|2018-07-12_2018-08-10|2018-09-13_2018-10-12|2019-01-16_2019-02-14|2019-02-15_2019-03-16|2019-03-14_2019-04-12|2019-04-12_2019-05-11|2019-07-13_2019-08-11|2019-11-15_2019-12-14|2020-03-13_2020-04-11|2020-08-12_2020-09-10|2020-10-15_2020-11-13|2020-11-14_2020-12-13|2021-02-18_2021-03-19|2021-08-13_2021-09-11|2021-10-15_2021-11-13|2021-12-15_2022-01-13|2022-02-16_2022-03-17|2022-03-16_2022-04-14|2022-04-14_2022-05-13|2022-09-15_2022-10-14|2022-11-16_2022-12-15|2023-01-19_2023-02-17|2023-04-14_2023-05-13|2023-06-15_2023-07-14|2023-07-14_2023-08-12|2023-09-15_2023-10-14|2023-11-16_2023-12-15|2023-12-14_2024-01-12|2024-02-17_2024-03-17|2024-03-15_2024-04-13|2024-06-14_2024-07-13|2024-08-14_2024-09-12|2024-09-13_2024-10-12|2024-11-15_2024-12-14|2025-01-15_2025-02-13|2025-02-14_2025-03-15|2025-05-16_2025-06-14|2026-01-15_2026-02-13|2026-01-31_2026-03-01
0.3,1,PPI m/m,Bad,7,6,1,85.7,14.3,6.0,2018-10-11_2018-11-09|2020-05-14_2020-06-12|2021-03-13_2021-04-11|2021-06-16_2021-07-15|2021-07-15_2021-08-13|2022-06-15_2022-07-14|2025-07-17_2025-08-15
