آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,CPI y/y,Neutral,13,7,6,53.8,46.2,1.17,2018-03-14_2018-04-12|2018-07-13_2018-08-11|2018-08-11_2018-09-09|2018-11-15_2018-12-14|2018-12-13_2019-01-11|2019-01-12_2019-02-10|2021-03-11_2021-04-09|2022-01-13_2022-02-11|2023-03-15_2023-04-13|2023-12-13_2024-01-11|2024-05-16_2024-06-14|2024-12-12_2025-01-10|2025-09-12_2025-10-11
0.0,1,CPI y/y,Good,16,10,6,62.5,37.5,1.67,2018-10-12_2018-11-10|2020-05-13_2020-06-11|2020-06-11_2020-07-10|2022-11-11_2022-12-10|2023-04-13_2023-05-12|2023-05-11_2023-06-09|2023-11-15_2023-12-14|2024-06-13_2024-07-12|2024-07-12_2024-08-10|2024-08-15_2024-09-13|2025-03-13_2025-04-11|2025-05-14_2025-06-12|2025-06-12_2025-07-11|2025-08-13_2025-09-11|2025-10-25_2025-11-23|2026-02-14_2026-03-15
0.0,1,CPI y/y,Bad,10,6,4,60.0,40.0,1.5,2019-12-12_2020-01-10|2020-02-14_2020-03-14|2020-08-13_2020-09-11|2020-09-12_2020-10-11|2021-10-14_2021-11-12|2022-02-11_2022-03-12|2022-04-13_2022-05-12|2023-10-13_2023-11-11|2024-10-11_2024-11-09|2025-07-16_2025-08-14
0.1,1,CPI y/y,Neutral,18,9,9,50.0,50.0,1.0,2018-03-14_2018-04-12|2018-07-13_2018-08-11|2018-08-11_2018-09-09|2018-11-15_2018-12-14|2018-12-13_2019-01-11|2019-01-12_2019-02-10|2021-03-11_2021-04-09|2022-01-13_2022-02-11|2022-04-13_2022-05-12|2023-03-15_2023-04-13|2023-04-13_2023-05-12|2023-05-11_2023-06-09|2023-11-15_2023-12-14|2023-12-13_2024-01-11|2024-05-16_2024-06-14|2024-12-12_2025-01-10|2025-08-13_2025-09-11|2025-09-12_2025-10-11
0.1,1,CPI y/y,Good,12,9,3,75.0,25.0,3.0,2018-10-12_2018-11-10|2020-05-13_2020-06-11|2020-06-11_2020-07-10|2022-11-11_2022-12-10|2024-06-13_2024-07-12|2024-07-12_2024-08-10|2024-08-15_2024-09-13|2025-03-13_2025-04-11|2025-05-14_2025-06-12|2025-06-12_2025-07-11|2025-10-25_2025-11-23|2026-02-14_2026-03-15
0.1,1,CPI y/y,Bad,9,5,4,55.6,44.4,1.25,2019-12-12_2020-01-10|2020-02-14_2020-03-14|2020-08-13_2020-09-11|2020-09-12_2020-10-11|2021-10-14_2021-11-12|2022-02-11_2022-03-12|2023-10-13_2023-11-11|2024-10-11_2024-11-09|2025-07-16_2025-08-14
0.2,1,CPI y/y,Neutral,36,20,16,55.6,44.4,1.25,2018-03-14_2018-04-12|2018-07-13_2018-08-11|2018-08-11_2018-09-09|2018-10-12_2018-11-10|2018-11-15_2018-12-14|2018-12-13_2019-01-11|2019-01-12_2019-02-10|2019-12-12_2020-01-10|2020-02-14_2020-03-14|2020-05-13_2020-06-11|2020-06-11_2020-07-10|2020-09-12_2020-10-11|2021-03-11_2021-04-09|2021-10-14_2021-11-12|2022-01-13_2022-02-11|2022-04-13_2022-05-12|2023-03-15_2023-04-13|2023-04-13_2023-05-12|2023-05-11_2023-06-09|2023-10-13_2023-11-11|2023-11-15_2023-12-14|2023-12-13_2024-01-11|2024-05-16_2024-06-14|2024-06-13_2024-07-12|2024-07-12_2024-08-10|2024-08-15_2024-09-13|2024-10-11_2024-11-09|2024-12-12_2025-01-10|2025-03-13_2025-04-11|2025-05-14_2025-06-12|2025-06-12_2025-07-11|2025-07-16_2025-08-14|2025-08-13_2025-09-11|2025-09-12_2025-10-11|2025-10-25_2025-11-23|2026-02-14_2026-03-15
0.2,1,CPI y/y,Bad,2,2,0,100.0,0.0,inf,2020-08-13_2020-09-11|2022-02-11_2022-03-12
0.2,1,CPI y/y,Good,1,1,0,100.0,0.0,inf,2022-11-11_2022-12-10
0.3,1,CPI y/y,Neutral,38,22,16,57.9,42.1,1.38,2018-03-14_2018-04-12|2018-07-13_2018-08-11|2018-08-11_2018-09-09|2018-10-12_2018-11-10|2018-11-15_2018-12-14|2018-12-13_2019-01-11|2019-01-12_2019-02-10|2019-12-12_2020-01-10|2020-02-14_2020-03-14|2020-05-13_2020-06-11|2020-06-11_2020-07-10|2020-09-12_2020-10-11|2021-03-11_2021-04-09|2021-10-14_2021-11-12|2022-01-13_2022-02-11|2022-02-11_2022-03-12|2022-04-13_2022-05-12|2022-11-11_2022-12-10|2023-03-15_2023-04-13|2023-04-13_2023-05-12|2023-05-11_2023-06-09|2023-10-13_2023-11-11|2023-11-15_2023-12-14|2023-12-13_2024-01-11|2024-05-16_2024-06-14|2024-06-13_2024-07-12|2024-07-12_2024-08-10|2024-08-15_2024-09-13|2024-10-11_2024-11-09|2024-12-12_2025-01-10|2025-03-13_2025-04-11|2025-05-14_2025-06-12|2025-06-12_2025-07-11|2025-07-16_2025-08-14|2025-08-13_2025-09-11|2025-09-12_2025-10-11|2025-10-25_2025-11-23|2026-02-14_2026-03-15
0.3,1,CPI y/y,Bad,1,1,0,100.0,0.0,inf,2020-08-13_2020-09-11
