آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.3,1,PPI m/m,Bad,7,6,1,85.7,14.3,6.0,2021-06-11_2021-06-15|2021-07-14_2021-07-18|2021-08-12_2021-08-16|2021-12-11_2021-12-15|2022-02-11_2022-02-15|2022-07-14_2022-07-18|2025-08-13_2025-08-17
0.3,1,PPI m/m,Good,7,4,3,57.1,42.9,1.33,2022-08-11_2022-08-15|2023-03-15_2023-03-19|2023-04-13_2023-04-17|2023-11-15_2023-11-19|2024-06-13_2024-06-17|2025-04-11_2025-04-15|2025-05-14_2025-05-18
0.0,1,Core PPI m/m,Good,21,15,6,71.4,28.6,2.5,2020-11-13_2020-11-17|2021-10-14_2021-10-18|2022-03-11_2022-03-15|2022-05-12_2022-05-16|2022-06-11_2022-06-15|2022-07-14_2022-07-18|2022-08-11_2022-08-15|2022-11-11_2022-11-15|2023-03-15_2023-03-19|2023-04-13_2023-04-17|2023-07-13_2023-07-17|2023-11-15_2023-11-19|2023-12-13_2023-12-17|2024-01-12_2024-01-16|2024-06-13_2024-06-17|2025-03-13_2025-03-17|2025-04-11_2025-04-15|2025-05-14_2025-05-18|2025-06-12_2025-06-16|2025-07-16_2025-07-20|2026-01-14_2026-01-18
0.0,1,Core PPI m/m,Neutral,11,8,3,72.7,27.3,2.67,2021-01-14_2021-01-18|2021-03-11_2021-03-15|2022-01-13_2022-01-17|2023-05-11_2023-05-15|2023-06-14_2023-06-18|2023-09-14_2023-09-18|2024-04-11_2024-04-15|2024-10-11_2024-10-15|2024-11-14_2024-11-18|2024-12-12_2024-12-16|2025-02-13_2025-02-17
0.0,1,Core PPI m/m,Bad,12,11,1,91.7,8.3,11.0,2021-06-11_2021-06-15|2021-07-14_2021-07-18|2021-08-12_2021-08-16|2021-12-11_2021-12-15|2022-02-11_2022-02-15|2022-04-13_2022-04-17|2022-09-14_2022-09-18|2023-02-15_2023-02-19|2024-03-13_2024-03-17|2024-07-12_2024-07-16|2024-09-12_2024-09-16|2025-08-13_2025-08-17
0.1,1,Core PPI m/m,Neutral,17,13,4,76.5,23.5,3.25,2020-11-13_2020-11-17|2021-01-14_2021-01-18|2021-03-11_2021-03-15|2022-01-13_2022-01-17|2022-06-11_2022-06-15|2022-07-14_2022-07-18|2023-05-11_2023-05-15|2023-06-14_2023-06-18|2023-07-13_2023-07-17|2023-09-14_2023-09-18|2024-03-13_2024-03-17|2024-04-11_2024-04-15|2024-09-12_2024-09-16|2024-10-11_2024-10-15|2024-11-14_2024-11-18|2024-12-12_2024-12-16|2025-02-13_2025-02-17
0.1,1,Core PPI m/m,Bad,10,9,1,90.0,10.0,9.0,2021-06-11_2021-06-15|2021-07-14_2021-07-18|2021-08-12_2021-08-16|2021-12-11_2021-12-15|2022-02-11_2022-02-15|2022-04-13_2022-04-17|2022-09-14_2022-09-18|2023-02-15_2023-02-19|2024-07-12_2024-07-16|2025-08-13_2025-08-17
0.1,1,Core PPI m/m,Good,17,12,5,70.6,29.4,2.4,2021-10-14_2021-10-18|2022-03-11_2022-03-15|2022-05-12_2022-05-16|2022-08-11_2022-08-15|2022-11-11_2022-11-15|2023-03-15_2023-03-19|2023-04-13_2023-04-17|2023-11-15_2023-11-19|2023-12-13_2023-12-17|2024-01-12_2024-01-16|2024-06-13_2024-06-17|2025-03-13_2025-03-17|2025-04-11_2025-04-15|2025-05-14_2025-05-18|2025-06-12_2025-06-16|2025-07-16_2025-07-20|2026-01-14_2026-01-18
0.2,1,Core PPI m/m,Neutral,28,23,5,82.1,17.9,4.6,2020-11-13_2020-11-17|2021-01-14_2021-01-18|2021-03-11_2021-03-15|2021-06-11_2021-06-15|2022-01-13_2022-01-17|2022-05-12_2022-05-16|2022-06-11_2022-06-15|2022-07-14_2022-07-18|2022-08-11_2022-08-15|2022-09-14_2022-09-18|2023-02-15_2023-02-19|2023-05-11_2023-05-15|2023-06-14_2023-06-18|2023-07-13_2023-07-17|2023-09-14_2023-09-18|2023-12-13_2023-12-17|2024-01-12_2024-01-16|2024-03-13_2024-03-17|2024-04-11_2024-04-15|2024-07-12_2024-07-16|2024-09-12_2024-09-16|2024-10-11_2024-10-15|2024-11-14_2024-11-18|2024-12-12_2024-12-16|2025-02-13_2025-02-17|2025-06-12_2025-06-16|2025-07-16_2025-07-20|2026-01-14_2026-01-18
0.2,1,Core PPI m/m,Bad,6,5,1,83.3,16.7,5.0,2021-07-14_2021-07-18|2021-08-12_2021-08-16|2021-12-11_2021-12-15|2022-02-11_2022-02-15|2022-04-13_2022-04-17|2025-08-13_2025-08-17
0.2,1,Core PPI m/m,Good,10,6,4,60.0,40.0,1.5,2021-10-14_2021-10-18|2022-03-11_2022-03-15|2022-11-11_2022-11-15|2023-03-15_2023-03-19|2023-04-13_2023-04-17|2023-11-15_2023-11-19|2024-06-13_2024-06-17|2025-03-13_2025-03-17|2025-04-11_2025-04-15|2025-05-14_2025-05-18
0.3,1,Core PPI m/m,Neutral,33,26,7,78.8,21.2,3.71,2020-11-13_2020-11-17|2021-01-14_2021-01-18|2021-03-11_2021-03-15|2021-06-11_2021-06-15|2021-10-14_2021-10-18|2021-12-11_2021-12-15|2022-01-13_2022-01-17|2022-05-12_2022-05-16|2022-06-11_2022-06-15|2022-07-14_2022-07-18|2022-08-11_2022-08-15|2022-09-14_2022-09-18|2022-11-11_2022-11-15|2023-02-15_2023-02-19|2023-05-11_2023-05-15|2023-06-14_2023-06-18|2023-07-13_2023-07-17|2023-09-14_2023-09-18|2023-11-15_2023-11-19|2023-12-13_2023-12-17|2024-01-12_2024-01-16|2024-03-13_2024-03-17|2024-04-11_2024-04-15|2024-06-13_2024-06-17|2024-07-12_2024-07-16|2024-09-12_2024-09-16|2024-10-11_2024-10-15|2024-11-14_2024-11-18|2024-12-12_2024-12-16|2025-02-13_2025-02-17|2025-06-12_2025-06-16|2025-07-16_2025-07-20|2026-01-14_2026-01-18
0.3,1,Core PPI m/m,Bad,5,4,1,80.0,20.0,4.0,2021-07-14_2021-07-18|2021-08-12_2021-08-16|2022-02-11_2022-02-15|2022-04-13_2022-04-17|2025-08-13_2025-08-17
0.3,1,Core PPI m/m,Good,6,4,2,66.7,33.3,2.0,2022-03-11_2022-03-15|2023-03-15_2023-03-19|2023-04-13_2023-04-17|2025-03-13_2025-03-17|2025-04-11_2025-04-15|2025-05-14_2025-05-18
0.0,1,FOMC,Neutral,2,1,1,50.0,50.0,1.0,2023-06-14_2023-06-18|2023-12-13_2023-12-17
0.1,1,FOMC,Neutral,2,1,1,50.0,50.0,1.0,2023-06-14_2023-06-18|2023-12-13_2023-12-17
0.2,1,FOMC,Neutral,2,1,1,50.0,50.0,1.0,2023-06-14_2023-06-18|2023-12-13_2023-12-17
0.3,1,FOMC,Neutral,2,1,1,50.0,50.0,1.0,2023-06-14_2023-06-18|2023-12-13_2023-12-17
0.0,2,PPI m/m|Core PPI m/m,Bad|Good,2,1,1,50.0,50.0,1.0,2020-11-13_2020-11-17|2022-07-14_2022-07-18
0.0,2,PPI m/m|Core PPI m/m,Good|Neutral,6,5,1,83.3,16.7,5.0,2021-01-14_2021-01-18|2022-01-13_2022-01-17|2023-05-11_2023-05-15|2023-06-14_2023-06-18|2024-04-11_2024-04-15|2024-10-11_2024-10-15
0.0,2,PPI m/m|Core PPI m/m,Bad|Neutral,4,2,2,50.0,50.0,1.0,2021-03-11_2021-03-15|2023-09-14_2023-09-18|2024-12-12_2024-12-16|2025-02-13_2025-02-17
0.0,2,PPI m/m|Core PPI m/m,Bad|Bad,11,10,1,90.9,9.1,10.0,2021-06-11_2021-06-15|2021-07-14_2021-07-18|2021-08-12_2021-08-16|2021-12-11_2021-12-15|2022-02-11_2022-02-15|2022-04-13_2022-04-17|2023-02-15_2023-02-19|2024-03-13_2024-03-17|2024-07-12_2024-07-16|2024-09-12_2024-09-16|2025-08-13_2025-08-17
0.0,2,PPI m/m|Core PPI m/m,Good|Good,15,11,4,73.3,26.7,2.75,2021-10-14_2021-10-18|2022-03-11_2022-03-15|2022-08-11_2022-08-15|2022-11-11_2022-11-15|2023-03-15_2023-03-19|2023-04-13_2023-04-17|2023-07-13_2023-07-17|2023-11-15_2023-11-19|2024-01-12_2024-01-16|2024-06-13_2024-06-17|2025-03-13_2025-03-17|2025-04-11_2025-04-15|2025-05-14_2025-05-18|2025-06-12_2025-06-16|2025-07-16_2025-07-20
0.0,2,PPI m/m|Core PPI m/m,Neutral|Good,4,3,1,75.0,25.0,3.0,2022-05-12_2022-05-16|2022-06-11_2022-06-15|2023-12-13_2023-12-17|2026-01-14_2026-01-18
0.0,2,PPI m/m|Core PPI m/m,Neutral|Bad,1,1,0,100.0,0.0,inf,2022-09-14_2022-09-18
0.0,2,PPI m/m|Core PPI m/m,Neutral|Neutral,1,1,0,100.0,0.0,inf,2024-11-14_2024-11-18
0.1,2,PPI m/m|Core PPI m/m,Neutral|Neutral,9,8,1,88.9,11.1,8.0,2020-11-13_2020-11-17|2021-03-11_2021-03-15|2022-06-11_2022-06-15|2023-05-11_2023-05-15|2023-07-13_2023-07-17|2024-04-11_2024-04-15|2024-09-12_2024-09-16|2024-10-11_2024-10-15|2024-11-14_2024-11-18
0.1,2,PPI m/m|Core PPI m/m,Good|Neutral,3,2,1,66.7,33.3,2.0,2021-01-14_2021-01-18|2022-01-13_2022-01-17|2023-06-14_2023-06-18
0.1,2,PPI m/m|Core PPI m/m,Bad|Bad,8,7,1,87.5,12.5,7.0,2021-06-11_2021-06-15|2021-07-14_2021-07-18|2021-08-12_2021-08-16|2021-12-11_2021-12-15|2022-02-11_2022-02-15|2022-04-13_2022-04-17|2023-02-15_2023-02-19|2025-08-13_2025-08-17
0.1,2,PPI m/m|Core PPI m/m,Neutral|Good,5,3,2,60.0,40.0,1.5,2021-10-14_2021-10-18|2022-05-12_2022-05-16|2023-12-13_2023-12-17|2025-06-12_2025-06-16|2026-01-14_2026-01-18
0.1,2,PPI m/m|Core PPI m/m,Good|Good,12,9,3,75.0,25.0,3.0,2022-03-11_2022-03-15|2022-08-11_2022-08-15|2022-11-11_2022-11-15|2023-03-15_2023-03-19|2023-04-13_2023-04-17|2023-11-15_2023-11-19|2024-01-12_2024-01-16|2024-06-13_2024-06-17|2025-03-13_2025-03-17|2025-04-11_2025-04-15|2025-05-14_2025-05-18|2025-07-16_2025-07-20
0.1,2,PPI m/m|Core PPI m/m,Bad|Neutral,5,3,2,60.0,40.0,1.5,2022-07-14_2022-07-18|2023-09-14_2023-09-18|2024-03-13_2024-03-17|2024-12-12_2024-12-16|2025-02-13_2025-02-17
0.1,2,PPI m/m|Core PPI m/m,Neutral|Bad,2,2,0,100.0,0.0,inf,2022-09-14_2022-09-18|2024-07-12_2024-07-16
0.2,2,PPI m/m|Core PPI m/m,Neutral|Neutral,22,18,4,81.8,18.2,4.5,2020-11-13_2020-11-17|2021-01-14_2021-01-18|2021-03-11_2021-03-15|2022-01-13_2022-01-17|2022-05-12_2022-05-16|2022-06-11_2022-06-15|2022-09-14_2022-09-18|2023-05-11_2023-05-15|2023-06-14_2023-06-18|2023-07-13_2023-07-17|2023-12-13_2023-12-17|2024-01-12_2024-01-16|2024-04-11_2024-04-15|2024-07-12_2024-07-16|2024-09-12_2024-09-16|2024-10-11_2024-10-15|2024-11-14_2024-11-18|2024-12-12_2024-12-16|2025-02-13_2025-02-17|2025-06-12_2025-06-16|2025-07-16_2025-07-20|2026-01-14_2026-01-18
0.2,2,PPI m/m|Core PPI m/m,Bad|Neutral,5,4,1,80.0,20.0,4.0,2021-06-11_2021-06-15|2022-07-14_2022-07-18|2023-02-15_2023-02-19|2023-09-14_2023-09-18|2024-03-13_2024-03-17
0.2,2,PPI m/m|Core PPI m/m,Bad|Bad,6,5,1,83.3,16.7,5.0,2021-07-14_2021-07-18|2021-08-12_2021-08-16|2021-12-11_2021-12-15|2022-02-11_2022-02-15|2022-04-13_2022-04-17|2025-08-13_2025-08-17
0.2,2,PPI m/m|Core PPI m/m,Neutral|Good,3,2,1,66.7,33.3,2.0,2021-10-14_2021-10-18|2022-03-11_2022-03-15|2022-11-11_2022-11-15
0.2,2,PPI m/m|Core PPI m/m,Good|Neutral,1,1,0,100.0,0.0,inf,2022-08-11_2022-08-15
0.2,2,PPI m/m|Core PPI m/m,Good|Good,7,4,3,57.1,42.9,1.33,2023-03-15_2023-03-19|2023-04-13_2023-04-17|2023-11-15_2023-11-19|2024-06-13_2024-06-17|2025-03-13_2025-03-17|2025-04-11_2025-04-15|2025-05-14_2025-05-18
0.3,2,PPI m/m|Core PPI m/m,Neutral|Neutral,27,21,6,77.8,22.2,3.5,2020-11-13_2020-11-17|2021-01-14_2021-01-18|2021-03-11_2021-03-15|2021-10-14_2021-10-18|2022-01-13_2022-01-17|2022-05-12_2022-05-16|2022-06-11_2022-06-15|2022-09-14_2022-09-18|2022-11-11_2022-11-15|2023-02-15_2023-02-19|2023-05-11_2023-05-15|2023-06-14_2023-06-18|2023-07-13_2023-07-17|2023-09-14_2023-09-18|2023-12-13_2023-12-17|2024-01-12_2024-01-16|2024-03-13_2024-03-17|2024-04-11_2024-04-15|2024-07-12_2024-07-16|2024-09-12_2024-09-16|2024-10-11_2024-10-15|2024-11-14_2024-11-18|2024-12-12_2024-12-16|2025-02-13_2025-02-17|2025-06-12_2025-06-16|2025-07-16_2025-07-20|2026-01-14_2026-01-18
0.3,2,PPI m/m|Core PPI m/m,Bad|Neutral,3,3,0,100.0,0.0,inf,2021-06-11_2021-06-15|2021-12-11_2021-12-15|2022-07-14_2022-07-18
0.3,2,PPI m/m|Core PPI m/m,Bad|Bad,4,3,1,75.0,25.0,3.0,2021-07-14_2021-07-18|2021-08-12_2021-08-16|2022-02-11_2022-02-15|2025-08-13_2025-08-17
0.3,2,PPI m/m|Core PPI m/m,Neutral|Good,2,2,0,100.0,0.0,inf,2022-03-11_2022-03-15|2025-03-13_2025-03-17
0.3,2,PPI m/m|Core PPI m/m,Neutral|Bad,1,1,0,100.0,0.0,inf,2022-04-13_2022-04-17
0.3,2,PPI m/m|Core PPI m/m,Good|Neutral,3,2,1,66.7,33.3,2.0,2022-08-11_2022-08-15|2023-11-15_2023-11-19|2024-06-13_2024-06-17
0.3,2,PPI m/m|Core PPI m/m,Good|Good,4,2,2,50.0,50.0,1.0,2023-03-15_2023-03-19|2023-04-13_2023-04-17|2025-04-11_2025-04-15|2025-05-14_2025-05-18
0.0,2,PPI m/m|FOMC,Good|Neutral,1,1,0,100.0,0.0,inf,2023-06-14_2023-06-18
0.0,2,PPI m/m|FOMC,Neutral|Neutral,1,0,1,0.0,100.0,0.0,2023-12-13_2023-12-17
0.1,2,PPI m/m|FOMC,Good|Neutral,1,1,0,100.0,0.0,inf,2023-06-14_2023-06-18
0.1,2,PPI m/m|FOMC,Neutral|Neutral,1,0,1,0.0,100.0,0.0,2023-12-13_2023-12-17
0.2,2,PPI m/m|FOMC,Neutral|Neutral,2,1,1,50.0,50.0,1.0,2023-06-14_2023-06-18|2023-12-13_2023-12-17
0.3,2,PPI m/m|FOMC,Neutral|Neutral,2,1,1,50.0,50.0,1.0,2023-06-14_2023-06-18|2023-12-13_2023-12-17
0.0,2,Core PPI m/m|FOMC,Neutral|Neutral,1,1,0,100.0,0.0,inf,2023-06-14_2023-06-18
0.0,2,Core PPI m/m|FOMC,Good|Neutral,1,0,1,0.0,100.0,0.0,2023-12-13_2023-12-17
0.1,2,Core PPI m/m|FOMC,Neutral|Neutral,1,1,0,100.0,0.0,inf,2023-06-14_2023-06-18
0.1,2,Core PPI m/m|FOMC,Good|Neutral,1,0,1,0.0,100.0,0.0,2023-12-13_2023-12-17
0.2,2,Core PPI m/m|FOMC,Neutral|Neutral,2,1,1,50.0,50.0,1.0,2023-06-14_2023-06-18|2023-12-13_2023-12-17
0.3,2,Core PPI m/m|FOMC,Neutral|Neutral,2,1,1,50.0,50.0,1.0,2023-06-14_2023-06-18|2023-12-13_2023-12-17
