آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.1,1,Core PPI m/m,Good,1,1,0,100.0,0.0,inf,2024-08-07_2024-08-21
0.2,1,Core PPI m/m,Neutral,6,5,1,83.3,16.7,5.0,2019-07-05_2019-07-19|2020-01-01_2020-01-15|2023-04-30_2023-05-14|2023-06-14_2023-06-28|2023-09-27_2023-10-11|2024-08-07_2024-08-21
0.3,1,Core PPI m/m,Neutral,6,5,1,83.3,16.7,5.0,2019-07-05_2019-07-19|2020-01-01_2020-01-15|2023-04-30_2023-05-14|2023-06-14_2023-06-28|2023-09-27_2023-10-11|2024-08-07_2024-08-21
0.0,1,FOMC,Neutral,3,2,1,66.7,33.3,2.0,2023-04-30_2023-05-14|2023-06-14_2023-06-28|2024-07-23_2024-08-06
0.1,1,FOMC,Neutral,3,2,1,66.7,33.3,2.0,2023-04-30_2023-05-14|2023-06-14_2023-06-28|2024-07-23_2024-08-06
0.2,1,FOMC,Neutral,3,2,1,66.7,33.3,2.0,2023-04-30_2023-05-14|2023-06-14_2023-06-28|2024-07-23_2024-08-06
0.3,1,FOMC,Neutral,3,2,1,66.7,33.3,2.0,2023-04-30_2023-05-14|2023-06-14_2023-06-28|2024-07-23_2024-08-06
0.0,1,CPI y/y,Neutral,2,2,0,100.0,0.0,inf,2019-07-05_2019-07-19|2020-01-01_2020-01-15
0.0,1,CPI y/y,Good,2,1,1,50.0,50.0,1.0,2023-04-30_2023-05-14|2024-08-07_2024-08-21
0.1,1,CPI y/y,Neutral,3,2,1,66.7,33.3,2.0,2019-07-05_2019-07-19|2020-01-01_2020-01-15|2023-04-30_2023-05-14
0.1,1,CPI y/y,Good,1,1,0,100.0,0.0,inf,2024-08-07_2024-08-21
0.2,1,CPI y/y,Neutral,4,3,1,75.0,25.0,3.0,2019-07-05_2019-07-19|2020-01-01_2020-01-15|2023-04-30_2023-05-14|2024-08-07_2024-08-21
0.3,1,CPI y/y,Neutral,4,3,1,75.0,25.0,3.0,2019-07-05_2019-07-19|2020-01-01_2020-01-15|2023-04-30_2023-05-14|2024-08-07_2024-08-21
0.0,2,CPI m/m|Core CPI m/m,Bad|Bad,1,1,0,100.0,0.0,inf,2019-07-05_2019-07-19
0.0,2,CPI m/m|Core CPI m/m,Neutral|Good,1,1,0,100.0,0.0,inf,2020-01-01_2020-01-15
0.0,2,CPI m/m|Core CPI m/m,Neutral|Bad,1,0,1,0.0,100.0,0.0,2023-04-30_2023-05-14
0.0,2,CPI m/m|Core CPI m/m,Neutral|Neutral,1,1,0,100.0,0.0,inf,2024-08-07_2024-08-21
