آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.2,2,CPI m/m|Core CPI m/m,Neutral|Neutral,27,16,11,59.3,40.7,1.45,2018-01-11_2018-01-15|2018-04-11_2018-04-15|2018-10-08_2018-10-12|2019-04-06_2019-04-10|2019-05-06_2019-05-10|2019-08-09_2019-08-13|2020-02-10_2020-02-14|2020-04-10_2020-04-14|2020-10-12_2020-10-16|2020-12-06_2020-12-10|2021-02-09_2021-02-13|2021-04-10_2021-04-14|2022-02-09_2022-02-13|2022-07-09_2022-07-13|2022-11-06_2022-11-10|2022-12-11_2022-12-15|2023-01-10_2023-01-14|2023-04-10_2023-04-14|2023-11-11_2023-11-15|2024-02-09_2024-02-13|2024-04-09_2024-04-13|2024-09-11_2024-09-15|2024-11-10_2024-11-14|2024-12-10_2024-12-14|2025-06-08_2025-06-12|2025-09-11_2025-09-15|2025-10-21_2025-10-25
0.2,2,CPI m/m|Core CPI m/m,Bad|Bad,2,1,1,50.0,50.0,1.0,2021-05-10_2021-05-14|2021-07-09_2021-07-13
0.3,2,CPI m/m|Core CPI m/m,Neutral|Neutral,27,16,11,59.3,40.7,1.45,2018-01-11_2018-01-15|2018-04-11_2018-04-15|2018-10-08_2018-10-12|2019-04-06_2019-04-10|2019-05-06_2019-05-10|2019-08-09_2019-08-13|2020-02-10_2020-02-14|2020-04-10_2020-04-14|2020-10-12_2020-10-16|2020-12-06_2020-12-10|2021-02-09_2021-02-13|2021-04-10_2021-04-14|2022-02-09_2022-02-13|2022-07-09_2022-07-13|2022-11-06_2022-11-10|2022-12-11_2022-12-15|2023-01-10_2023-01-14|2023-04-10_2023-04-14|2023-11-11_2023-11-15|2024-02-09_2024-02-13|2024-04-09_2024-04-13|2024-09-11_2024-09-15|2024-11-10_2024-11-14|2024-12-10_2024-12-14|2025-06-08_2025-06-12|2025-09-11_2025-09-15|2025-10-21_2025-10-25
0.3,2,CPI m/m|Core CPI m/m,Bad|Bad,2,1,1,50.0,50.0,1.0,2021-05-10_2021-05-14|2021-07-09_2021-07-13
0.0,2,CPI m/m|PPI m/m,Neutral|Good,1,1,0,100.0,0.0,inf,2018-01-11_2018-01-15
0.0,2,CPI m/m|PPI m/m,Good|Neutral,2,0,2,0.0,100.0,0.0,2018-10-08_2018-10-12|2019-05-06_2019-05-10
0.0,2,CPI m/m|PPI m/m,Neutral|Neutral,2,1,1,50.0,50.0,1.0,2019-08-09_2019-08-13|2024-11-10_2024-11-14
0.0,2,CPI m/m|PPI m/m,Neutral|Bad,3,2,1,66.7,33.3,2.0,2020-10-12_2020-10-16|2024-09-11_2024-09-15|2024-12-10_2024-12-14
0.0,2,CPI m/m|PPI m/m,Bad|Bad,1,0,1,0.0,100.0,0.0,2021-05-10_2021-05-14
0.0,2,CPI m/m|PPI m/m,Good|Good,3,2,1,66.7,33.3,2.0,2023-04-10_2023-04-14|2023-11-11_2023-11-15|2025-06-08_2025-06-12
0.0,2,CPI m/m|PPI m/m,Bad|Good,1,0,1,0.0,100.0,0.0,2024-04-09_2024-04-13
0.1,2,CPI m/m|PPI m/m,Neutral|Good,3,3,0,100.0,0.0,inf,2018-01-11_2018-01-15|2023-04-10_2023-04-14|2023-11-11_2023-11-15
0.1,2,CPI m/m|PPI m/m,Neutral|Neutral,5,2,3,40.0,60.0,0.67,2018-10-08_2018-10-12|2019-08-09_2019-08-13|2024-09-11_2024-09-15|2024-11-10_2024-11-14|2025-06-08_2025-06-12
0.1,2,CPI m/m|PPI m/m,Good|Neutral,1,0,1,0.0,100.0,0.0,2019-05-06_2019-05-10
