آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.3,1,PPI m/m,Good,4,3,1,75.0,25.0,3.0,2020-05-13_2020-05-22|2023-01-13_2023-01-22|2023-03-15_2023-03-24|2024-06-13_2024-06-22
0.3,1,PPI m/m,Bad,2,1,1,50.0,50.0,1.0,2021-08-12_2021-08-21|2022-02-11_2022-02-20
0.0,1,Core PPI m/m,Bad,6,5,1,83.3,16.7,5.0,2019-02-14_2019-02-23|2019-07-12_2019-07-21|2021-08-12_2021-08-21|2022-02-11_2022-02-20|2022-04-13_2022-04-22|2023-02-15_2023-02-24
0.0,1,Core PPI m/m,Good,9,5,4,55.6,44.4,1.25,2019-03-13_2019-03-22|2020-05-13_2020-05-22|2022-05-12_2022-05-21|2022-11-11_2022-11-20|2023-03-15_2023-03-24|2023-07-13_2023-07-22|2023-12-13_2023-12-22|2024-06-13_2024-06-22|2026-01-14_2026-01-23
0.0,1,Core PPI m/m,Neutral,3,2,1,66.7,33.3,2.0,2021-01-14_2021-01-23|2021-03-11_2021-03-20|2023-01-13_2023-01-22
0.1,1,Core PPI m/m,Neutral,7,4,3,57.1,42.9,1.33,2019-02-14_2019-02-23|2019-03-13_2019-03-22|2019-07-12_2019-07-21|2021-01-14_2021-01-23|2021-03-11_2021-03-20|2023-01-13_2023-01-22|2023-07-13_2023-07-22
0.1,1,Core PPI m/m,Good,7,5,2,71.4,28.6,2.5,2020-05-13_2020-05-22|2022-05-12_2022-05-21|2022-11-11_2022-11-20|2023-03-15_2023-03-24|2023-12-13_2023-12-22|2024-06-13_2024-06-22|2026-01-14_2026-01-23
0.1,1,Core PPI m/m,Bad,4,3,1,75.0,25.0,3.0,2021-08-12_2021-08-21|2022-02-11_2022-02-20|2022-04-13_2022-04-22|2023-02-15_2023-02-24
0.2,1,Core PPI m/m,Neutral,12,9,3,75.0,25.0,3.0,2019-02-14_2019-02-23|2019-03-13_2019-03-22|2019-07-12_2019-07-21|2020-05-13_2020-05-22|2021-01-14_2021-01-23|2021-03-11_2021-03-20|2022-05-12_2022-05-21|2023-01-13_2023-01-22|2023-02-15_2023-02-24|2023-07-13_2023-07-22|2023-12-13_2023-12-22|2026-01-14_2026-01-23
0.2,1,Core PPI m/m,Bad,3,2,1,66.7,33.3,2.0,2021-08-12_2021-08-21|2022-02-11_2022-02-20|2022-04-13_2022-04-22
0.2,1,Core PPI m/m,Good,3,1,2,33.3,66.7,0.5,2022-11-11_2022-11-20|2023-03-15_2023-03-24|2024-06-13_2024-06-22
0.3,1,Core PPI m/m,Neutral,14,10,4,71.4,28.6,2.5,2019-02-14_2019-02-23|2019-03-13_2019-03-22|2019-07-12_2019-07-21|2020-05-13_2020-05-22|2021-01-14_2021-01-23|2021-03-11_2021-03-20|2022-05-12_2022-05-21|2022-11-11_2022-11-20|2023-01-13_2023-01-22|2023-02-15_2023-02-24|2023-07-13_2023-07-22|2023-12-13_2023-12-22|2024-06-13_2024-06-22|2026-01-14_2026-01-23
0.3,1,Core PPI m/m,Bad,3,2,1,66.7,33.3,2.0,2021-08-12_2021-08-21|2022-02-11_2022-02-20|2022-04-13_2022-04-22
0.3,1,Core PPI m/m,Good,1,0,1,0.0,100.0,0.0,2023-03-15_2023-03-24
0.0,1,FOMC,Neutral,6,3,3,50.0,50.0,1.0,2019-03-13_2019-03-22|2020-09-12_2020-09-21|2021-03-11_2021-03-20|2022-12-14_2022-12-23|2023-03-15_2023-03-24|2023-12-13_2023-12-22
0.1,1,FOMC,Neutral,6,3,3,50.0,50.0,1.0,2019-03-13_2019-03-22|2020-09-12_2020-09-21|2021-03-11_2021-03-20|2022-12-14_2022-12-23|2023-03-15_2023-03-24|2023-12-13_2023-12-22
0.2,1,FOMC,Neutral,6,3,3,50.0,50.0,1.0,2019-03-13_2019-03-22|2020-09-12_2020-09-21|2021-03-11_2021-03-20|2022-12-14_2022-12-23|2023-03-15_2023-03-24|2023-12-13_2023-12-22
0.3,1,FOMC,Neutral,6,3,3,50.0,50.0,1.0,2019-03-13_2019-03-22|2020-09-12_2020-09-21|2021-03-11_2021-03-20|2022-12-14_2022-12-23|2023-03-15_2023-03-24|2023-12-13_2023-12-22
0.0,2,PPI m/m|Core PPI m/m,Good|Bad,1,1,0,100.0,0.0,inf,2019-02-14_2019-02-23
0.0,2,PPI m/m|Core PPI m/m,Good|Good,6,2,4,33.3,66.7,0.5,2019-03-13_2019-03-22|2020-05-13_2020-05-22|2022-11-11_2022-11-20|2023-03-15_2023-03-24|2023-07-13_2023-07-22|2024-06-13_2024-06-22
0.0,2,PPI m/m|Core PPI m/m,Neutral|Bad,1,1,0,100.0,0.0,inf,2019-07-12_2019-07-21
0.0,2,PPI m/m|Core PPI m/m,Good|Neutral,2,2,0,100.0,0.0,inf,2021-01-14_2021-01-23|2023-01-13_2023-01-22
0.0,2,PPI m/m|Core PPI m/m,Bad|Neutral,1,0,1,0.0,100.0,0.0,2021-03-11_2021-03-20
0.0,2,PPI m/m|Core PPI m/m,Bad|Bad,4,3,1,75.0,25.0,3.0,2021-08-12_2021-08-21|2022-02-11_2022-02-20|2022-04-13_2022-04-22|2023-02-15_2023-02-24
0.0,2,PPI m/m|Core PPI m/m,Neutral|Good,3,3,0,100.0,0.0,inf,2022-05-12_2022-05-21|2023-12-13_2023-12-22|2026-01-14_2026-01-23
0.1,2,PPI m/m|Core PPI m/m,Good|Neutral,3,3,0,100.0,0.0,inf,2019-02-14_2019-02-23|2021-01-14_2021-01-23|2023-01-13_2023-01-22
0.1,2,PPI m/m|Core PPI m/m,Neutral|Neutral,4,1,3,25.0,75.0,0.33,2019-03-13_2019-03-22|2019-07-12_2019-07-21|2021-03-11_2021-03-20|2023-07-13_2023-07-22
0.1,2,PPI m/m|Core PPI m/m,Good|Good,4,2,2,50.0,50.0,1.0,2020-05-13_2020-05-22|2022-11-11_2022-11-20|2023-03-15_2023-03-24|2024-06-13_2024-06-22
0.1,2,PPI m/m|Core PPI m/m,Bad|Bad,4,3,1,75.0,25.0,3.0,2021-08-12_2021-08-21|2022-02-11_2022-02-20|2022-04-13_2022-04-22|2023-02-15_2023-02-24
0.1,2,PPI m/m|Core PPI m/m,Neutral|Good,3,3,0,100.0,0.0,inf,2022-05-12_2022-05-21|2023-12-13_2023-12-22|2026-01-14_2026-01-23
0.2,2,PPI m/m|Core PPI m/m,Neutral|Neutral,9,6,3,66.7,33.3,2.0,2019-02-14_2019-02-23|2019-03-13_2019-03-22|2019-07-12_2019-07-21|2021-01-14_2021-01-23|2021-03-11_2021-03-20|2022-05-12_2022-05-21|2023-07-13_2023-07-22|2023-12-13_2023-12-22|2026-01-14_2026-01-23
0.2,2,PPI m/m|Core PPI m/m,Good|Neutral,2,2,0,100.0,0.0,inf,2020-05-13_2020-05-22|2023-01-13_2023-01-22
0.2,2,PPI m/m|Core PPI m/m,Bad|Bad,3,2,1,66.7,33.3,2.0,2021-08-12_2021-08-21|2022-02-11_2022-02-20|2022-04-13_2022-04-22
0.2,2,PPI m/m|Core PPI m/m,Neutral|Good,1,0,1,0.0,100.0,0.0,2022-11-11_2022-11-20
0.2,2,PPI m/m|Core PPI m/m,Bad|Neutral,1,1,0,100.0,0.0,inf,2023-02-15_2023-02-24
0.2,2,PPI m/m|Core PPI m/m,Good|Good,2,1,1,50.0,50.0,1.0,2023-03-15_2023-03-24|2024-06-13_2024-06-22
0.3,2,PPI m/m|Core PPI m/m,Neutral|Neutral,11,7,4,63.6,36.4,1.75,2019-02-14_2019-02-23|2019-03-13_2019-03-22|2019-07-12_2019-07-21|2021-01-14_2021-01-23|2021-03-11_2021-03-20|2022-05-12_2022-05-21|2022-11-11_2022-11-20|2023-02-15_2023-02-24|2023-07-13_2023-07-22|2023-12-13_2023-12-22|2026-01-14_2026-01-23
0.3,2,PPI m/m|Core PPI m/m,Good|Neutral,3,3,0,100.0,0.0,inf,2020-05-13_2020-05-22|2023-01-13_2023-01-22|2024-06-13_2024-06-22
0.3,2,PPI m/m|Core PPI m/m,Bad|Bad,2,1,1,50.0,50.0,1.0,2021-08-12_2021-08-21|2022-02-11_2022-02-20
0.3,2,PPI m/m|Core PPI m/m,Neutral|Bad,1,1,0,100.0,0.0,inf,2022-04-13_2022-04-22
0.3,2,PPI m/m|Core PPI m/m,Good|Good,1,0,1,0.0,100.0,0.0,2023-03-15_2023-03-24
0.0,2,PPI m/m|FOMC,Good|Neutral,2,0,2,0.0,100.0,0.0,2019-03-13_2019-03-22|2023-03-15_2023-03-24
0.0,2,PPI m/m|FOMC,Bad|Neutral,1,0,1,0.0,100.0,0.0,2021-03-11_2021-03-20
0.0,2,PPI m/m|FOMC,Neutral|Neutral,1,1,0,100.0,0.0,inf,2023-12-13_2023-12-22
0.1,2,PPI m/m|FOMC,Neutral|Neutral,3,1,2,33.3,66.7,0.5,2019-03-13_2019-03-22|2021-03-11_2021-03-20|2023-12-13_2023-12-22
0.1,2,PPI m/m|FOMC,Good|Neutral,1,0,1,0.0,100.0,0.0,2023-03-15_2023-03-24
0.2,2,PPI m/m|FOMC,Neutral|Neutral,3,1,2,33.3,66.7,0.5,2019-03-13_2019-03-22|2021-03-11_2021-03-20|2023-12-13_2023-12-22
0.2,2,PPI m/m|FOMC,Good|Neutral,1,0,1,0.0,100.0,0.0,2023-03-15_2023-03-24
0.3,2,PPI m/m|FOMC,Neutral|Neutral,3,1,2,33.3,66.7,0.5,2019-03-13_2019-03-22|2021-03-11_2021-03-20|2023-12-13_2023-12-22
0.3,2,PPI m/m|FOMC,Good|Neutral,1,0,1,0.0,100.0,0.0,2023-03-15_2023-03-24
0.0,2,Core PPI m/m|FOMC,Good|Neutral,3,1,2,33.3,66.7,0.5,2019-03-13_2019-03-22|2023-03-15_2023-03-24|2023-12-13_2023-12-22
0.0,2,Core PPI m/m|FOMC,Neutral|Neutral,1,0,1,0.0,100.0,0.0,2021-03-11_2021-03-20
0.1,2,Core PPI m/m|FOMC,Neutral|Neutral,2,0,2,0.0,100.0,0.0,2019-03-13_2019-03-22|2021-03-11_2021-03-20
0.1,2,Core PPI m/m|FOMC,Good|Neutral,2,1,1,50.0,50.0,1.0,2023-03-15_2023-03-24|2023-12-13_2023-12-22
0.2,2,Core PPI m/m|FOMC,Neutral|Neutral,3,1,2,33.3,66.7,0.5,2019-03-13_2019-03-22|2021-03-11_2021-03-20|2023-12-13_2023-12-22
0.2,2,Core PPI m/m|FOMC,Good|Neutral,1,0,1,0.0,100.0,0.0,2023-03-15_2023-03-24
0.3,2,Core PPI m/m|FOMC,Neutral|Neutral,3,1,2,33.3,66.7,0.5,2019-03-13_2019-03-22|2021-03-11_2021-03-20|2023-12-13_2023-12-22
0.3,2,Core PPI m/m|FOMC,Good|Neutral,1,0,1,0.0,100.0,0.0,2023-03-15_2023-03-24
