آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,PPI m/m,Bad,11,10,1,90.9,9.1,10.0,2020-11-13_2020-11-22|2021-06-11_2021-06-20|2021-07-14_2021-07-23|2022-02-11_2022-02-20|2023-02-15_2023-02-24|2023-08-11_2023-08-20|2023-09-14_2023-09-23|2024-03-13_2024-03-22|2024-09-12_2024-09-21|2024-12-12_2024-12-21|2025-08-13_2025-08-22
0.0,1,PPI m/m,Good,8,5,3,62.5,37.5,1.67,2022-01-13_2022-01-22|2022-08-11_2022-08-20|2022-11-11_2022-11-20|2023-07-13_2023-07-22|2024-01-12_2024-01-21|2024-06-13_2024-06-22|2024-10-11_2024-10-20|2025-06-12_2025-06-21
0.0,1,PPI m/m,Neutral,4,3,1,75.0,25.0,3.0,2022-05-12_2022-05-21|2022-06-11_2022-06-20|2022-09-14_2022-09-23|2026-01-14_2026-01-23
0.1,1,PPI m/m,Neutral,10,7,3,70.0,30.0,2.33,2020-11-13_2020-11-22|2022-05-12_2022-05-21|2022-06-11_2022-06-20|2022-09-14_2022-09-23|2023-07-13_2023-07-22|2023-08-11_2023-08-20|2024-09-12_2024-09-21|2024-10-11_2024-10-20|2025-06-12_2025-06-21|2026-01-14_2026-01-23
0.1,1,PPI m/m,Bad,8,7,1,87.5,12.5,7.0,2021-06-11_2021-06-20|2021-07-14_2021-07-23|2022-02-11_2022-02-20|2023-02-15_2023-02-24|2023-09-14_2023-09-23|2024-03-13_2024-03-22|2024-12-12_2024-12-21|2025-08-13_2025-08-22
0.1,1,PPI m/m,Good,5,4,1,80.0,20.0,4.0,2022-01-13_2022-01-22|2022-08-11_2022-08-20|2022-11-11_2022-11-20|2024-01-12_2024-01-21|2024-06-13_2024-06-22
0.2,1,PPI m/m,Neutral,14,11,3,78.6,21.4,3.67,2020-11-13_2020-11-22|2022-01-13_2022-01-22|2022-05-12_2022-05-21|2022-06-11_2022-06-20|2022-09-14_2022-09-23|2022-11-11_2022-11-20|2023-07-13_2023-07-22|2023-08-11_2023-08-20|2024-01-12_2024-01-21|2024-09-12_2024-09-21|2024-10-11_2024-10-20|2024-12-12_2024-12-21|2025-06-12_2025-06-21|2026-01-14_2026-01-23
0.2,1,PPI m/m,Bad,7,6,1,85.7,14.3,6.0,2021-06-11_2021-06-20|2021-07-14_2021-07-23|2022-02-11_2022-02-20|2023-02-15_2023-02-24|2023-09-14_2023-09-23|2024-03-13_2024-03-22|2025-08-13_2025-08-22
0.2,1,PPI m/m,Good,2,1,1,50.0,50.0,1.0,2022-08-11_2022-08-20|2024-06-13_2024-06-22
0.3,1,PPI m/m,Neutral,17,13,4,76.5,23.5,3.25,2020-11-13_2020-11-22|2022-01-13_2022-01-22|2022-05-12_2022-05-21|2022-06-11_2022-06-20|2022-09-14_2022-09-23|2022-11-11_2022-11-20|2023-02-15_2023-02-24|2023-07-13_2023-07-22|2023-08-11_2023-08-20|2023-09-14_2023-09-23|2024-01-12_2024-01-21|2024-03-13_2024-03-22|2024-09-12_2024-09-21|2024-10-11_2024-10-20|2024-12-12_2024-12-21|2025-06-12_2025-06-21|2026-01-14_2026-01-23
