آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,PPI m/m,Bad,21,17,4,81.0,19.0,4.25,2018-03-14_2018-03-28|2018-06-13_2018-06-27|2019-04-11_2019-04-25|2019-11-14_2019-11-28|2020-02-14_2020-02-28|2020-06-11_2020-06-25|2021-03-11_2021-03-25|2021-06-11_2021-06-25|2021-08-12_2021-08-26|2021-12-11_2021-12-25|2022-02-11_2022-02-25|2022-04-13_2022-04-27|2022-07-14_2022-07-28|2023-02-15_2023-03-01|2023-08-11_2023-08-25|2023-09-14_2023-09-28|2024-03-13_2024-03-27|2024-07-12_2024-07-26|2024-12-12_2024-12-26|2026-02-14_2026-02-28|2024-09-12_2024-09-26
0.0,1,PPI m/m,Good,21,13,8,61.9,38.1,1.62,2019-02-14_2019-02-28|2019-03-13_2019-03-27|2020-05-13_2020-05-27|2021-01-14_2021-01-28|2021-10-14_2021-10-28|2022-01-13_2022-01-27|2022-11-11_2022-11-25|2023-01-13_2023-01-27|2023-03-15_2023-03-29|2023-04-13_2023-04-27|2023-05-11_2023-05-25|2023-07-13_2023-07-27|2023-11-15_2023-11-29|2024-06-13_2024-06-27|2024-10-11_2024-10-25|2025-03-13_2025-03-27|2025-04-11_2025-04-25|2025-05-14_2025-05-28|2025-06-12_2025-06-26|2025-07-16_2025-07-30|2024-01-12_2024-01-26
0.0,1,PPI m/m,Neutral,7,6,1,85.7,14.3,6.0,2019-07-12_2019-07-26|2020-12-11_2020-12-25|2022-05-12_2022-05-26|2022-09-14_2022-09-28|2023-12-13_2023-12-27|2024-11-14_2024-11-28|2026-01-14_2026-01-28
0.1,1,PPI m/m,Neutral,18,12,6,66.7,33.3,2.0,2018-03-14_2018-03-28|2019-03-13_2019-03-27|2019-07-12_2019-07-26|2020-12-11_2020-12-25|2021-03-11_2021-03-25|2021-10-14_2021-10-28|2022-05-12_2022-05-26|2022-09-14_2022-09-28|2023-05-11_2023-05-25|2023-07-13_2023-07-27|2023-08-11_2023-08-25|2023-12-13_2023-12-27|2024-07-12_2024-07-26|2024-10-11_2024-10-25|2024-11-14_2024-11-28|2025-06-12_2025-06-26|2026-01-14_2026-01-28|2024-09-12_2024-09-26
0.1,1,PPI m/m,Bad,16,15,1,93.8,6.2,15.0,2018-06-13_2018-06-27|2019-04-11_2019-04-25|2019-11-14_2019-11-28|2020-02-14_2020-02-28|2020-06-11_2020-06-25|2021-06-11_2021-06-25|2021-08-12_2021-08-26|2021-12-11_2021-12-25|2022-02-11_2022-02-25|2022-04-13_2022-04-27|2022-07-14_2022-07-28|2023-02-15_2023-03-01|2023-09-14_2023-09-28|2024-03-13_2024-03-27|2024-12-12_2024-12-26|2026-02-14_2026-02-28
0.1,1,PPI m/m,Good,15,9,6,60.0,40.0,1.5,2019-02-14_2019-02-28|2020-05-13_2020-05-27|2021-01-14_2021-01-28|2022-01-13_2022-01-27|2022-11-11_2022-11-25|2023-01-13_2023-01-27|2023-03-15_2023-03-29|2023-04-13_2023-04-27|2023-11-15_2023-11-29|2024-06-13_2024-06-27|2025-03-13_2025-03-27|2025-04-11_2025-04-25|2025-05-14_2025-05-28|2025-07-16_2025-07-30|2024-01-12_2024-01-26
0.2,1,PPI m/m,Neutral,28,19,9,67.9,32.1,2.11,2018-03-14_2018-03-28|2018-06-13_2018-06-27|2019-02-14_2019-02-28|2019-03-13_2019-03-27|2019-07-12_2019-07-26|2019-11-14_2019-11-28|2020-12-11_2020-12-25|2021-01-14_2021-01-28|2021-03-11_2021-03-25|2021-10-14_2021-10-28|2022-01-13_2022-01-27|2022-05-12_2022-05-26|2022-09-14_2022-09-28|2022-11-11_2022-11-25|2023-05-11_2023-05-25|2023-07-13_2023-07-27|2023-08-11_2023-08-25|2023-12-13_2023-12-27|2024-07-12_2024-07-26|2024-10-11_2024-10-25|2024-11-14_2024-11-28|2024-12-12_2024-12-26|2025-06-12_2025-06-26|2025-07-16_2025-07-30|2026-01-14_2026-01-28|2026-02-14_2026-02-28|2024-01-12_2024-01-26|2024-09-12_2024-09-26
0.2,1,PPI m/m,Bad,12,11,1,91.7,8.3,11.0,2019-04-11_2019-04-25|2020-02-14_2020-02-28|2020-06-11_2020-06-25|2021-06-11_2021-06-25|2021-08-12_2021-08-26|2021-12-11_2021-12-25|2022-02-11_2022-02-25|2022-04-13_2022-04-27|2022-07-14_2022-07-28|2023-02-15_2023-03-01|2023-09-14_2023-09-28|2024-03-13_2024-03-27
0.2,1,PPI m/m,Good,9,6,3,66.7,33.3,2.0,2020-05-13_2020-05-27|2023-01-13_2023-01-27|2023-03-15_2023-03-29|2023-04-13_2023-04-27|2023-11-15_2023-11-29|2024-06-13_2024-06-27|2025-03-13_2025-03-27|2025-04-11_2025-04-25|2025-05-14_2025-05-28
0.3,1,PPI m/m,Neutral,34,25,9,73.5,26.5,2.78,2018-03-14_2018-03-28|2018-06-13_2018-06-27|2019-02-14_2019-02-28|2019-03-13_2019-03-27|2019-04-11_2019-04-25|2019-07-12_2019-07-26|2019-11-14_2019-11-28|2020-12-11_2020-12-25|2021-01-14_2021-01-28|2021-03-11_2021-03-25|2021-10-14_2021-10-28|2022-01-13_2022-01-27|2022-04-13_2022-04-27|2022-05-12_2022-05-26|2022-09-14_2022-09-28|2022-11-11_2022-11-25|2023-02-15_2023-03-01|2023-05-11_2023-05-25|2023-07-13_2023-07-27|2023-08-11_2023-08-25|2023-09-14_2023-09-28|2023-12-13_2023-12-27|2024-03-13_2024-03-27|2024-07-12_2024-07-26|2024-10-11_2024-10-25|2024-11-14_2024-11-28|2024-12-12_2024-12-26|2025-03-13_2025-03-27|2025-06-12_2025-06-26|2025-07-16_2025-07-30|2026-01-14_2026-01-28|2026-02-14_2026-02-28|2024-01-12_2024-01-26|2024-09-12_2024-09-26
