آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,Core CPI m/m,Good,15,9,6,60.0,40.0,1.5,2018-10-08_2018-10-12|2019-04-06_2019-04-10|2019-10-08_2019-10-12|2020-04-10_2020-04-14|2022-08-08_2022-08-12|2023-07-09_2023-07-13|2024-07-08_2024-07-12|2025-01-14_2025-01-18|2025-07-13_2025-07-17|2025-10-21_2025-10-25|2019-06-10_2019-06-14|2020-06-09_2020-06-13|2021-08-08_2021-08-12|2025-03-10_2025-03-14|2021-03-06_2021-03-10
0.0,1,Core CPI m/m,Bad,9,5,4,55.6,44.4,1.25,2020-08-08_2020-08-12|2022-10-12_2022-10-16|2025-02-08_2025-02-12|2018-06-10_2018-06-14|2020-12-06_2020-12-10|2021-07-09_2021-07-13|2022-02-09_2022-02-13|2024-10-06_2024-10-10|2022-09-12_2022-09-16
0.1,1,Core CPI m/m,Neutral,29,19,10,65.5,34.5,1.9,2018-04-11_2018-04-15|2018-07-10_2018-07-14|2018-10-08_2018-10-12|2019-02-10_2019-02-14|2019-04-06_2019-04-10|2019-10-08_2019-10-12|2021-12-06_2021-12-10|2023-02-14_2023-02-18|2023-07-09_2023-07-13|2023-08-08_2023-08-12|2024-07-08_2024-07-12|2024-12-10_2024-12-14|2025-01-14_2025-01-18|2025-07-13_2025-07-17|2025-08-12_2025-08-16|2025-10-21_2025-10-25|2018-06-10_2018-06-14|2019-06-10_2019-06-14|2019-11-12_2019-11-16|2019-12-07_2019-12-11|2020-06-09_2020-06-13|2020-12-06_2020-12-10|2022-02-09_2022-02-13|2023-10-12_2023-10-16|2023-12-11_2023-12-15|2024-05-14_2024-05-18|2024-10-06_2024-10-10|2025-03-10_2025-03-14|2021-03-06_2021-03-10
0.1,1,Core CPI m/m,Good,3,1,2,33.3,66.7,0.5,2020-04-10_2020-04-14|2022-08-08_2022-08-12|2021-08-08_2021-08-12
0.1,1,Core CPI m/m,Bad,5,2,3,40.0,60.0,0.67,2020-08-08_2020-08-12|2022-10-12_2022-10-16|2025-02-08_2025-02-12|2021-07-09_2021-07-13|2022-09-12_2022-09-16
0.2,1,Core CPI m/m,Neutral,34,20,14,58.8,41.2,1.43,2018-04-11_2018-04-15|2018-07-10_2018-07-14|2018-10-08_2018-10-12|2019-02-10_2019-02-14|2019-04-06_2019-04-10|2019-10-08_2019-10-12|2020-04-10_2020-04-14|2021-12-06_2021-12-10|2022-08-08_2022-08-12|2022-10-12_2022-10-16|2023-02-14_2023-02-18|2023-07-09_2023-07-13|2023-08-08_2023-08-12|2024-07-08_2024-07-12|2024-12-10_2024-12-14|2025-01-14_2025-01-18|2025-02-08_2025-02-12|2025-07-13_2025-07-17|2025-08-12_2025-08-16|2025-10-21_2025-10-25|2018-06-10_2018-06-14|2019-06-10_2019-06-14|2019-11-12_2019-11-16|2019-12-07_2019-12-11|2020-06-09_2020-06-13|2020-12-06_2020-12-10|2021-08-08_2021-08-12|2022-02-09_2022-02-13|2023-10-12_2023-10-16|2023-12-11_2023-12-15|2024-05-14_2024-05-18|2024-10-06_2024-10-10|2025-03-10_2025-03-14|2021-03-06_2021-03-10
0.2,1,Core CPI m/m,Bad,3,2,1,66.7,33.3,2.0,2020-08-08_2020-08-12|2021-07-09_2021-07-13|2022-09-12_2022-09-16
0.3,1,Core CPI m/m,Neutral,35,21,14,60.0,40.0,1.5,2018-04-11_2018-04-15|2018-07-10_2018-07-14|2018-10-08_2018-10-12|2019-02-10_2019-02-14|2019-04-06_2019-04-10|2019-10-08_2019-10-12|2020-04-10_2020-04-14|2021-12-06_2021-12-10|2022-08-08_2022-08-12|2022-10-12_2022-10-16|2023-02-14_2023-02-18|2023-07-09_2023-07-13|2023-08-08_2023-08-12|2024-07-08_2024-07-12|2024-12-10_2024-12-14|2025-01-14_2025-01-18|2025-02-08_2025-02-12|2025-07-13_2025-07-17|2025-08-12_2025-08-16|2025-10-21_2025-10-25|2018-06-10_2018-06-14|2019-06-10_2019-06-14|2019-11-12_2019-11-16|2019-12-07_2019-12-11|2020-06-09_2020-06-13|2020-12-06_2020-12-10|2021-08-08_2021-08-12|2022-02-09_2022-02-13|2023-10-12_2023-10-16|2023-12-11_2023-12-15|2024-05-14_2024-05-18|2024-10-06_2024-10-10|2025-03-10_2025-03-14|2021-03-06_2021-03-10|2022-09-12_2022-09-16
0.3,1,Core CPI m/m,Bad,2,1,1,50.0,50.0,1.0,2020-08-08_2020-08-12|2021-07-09_2021-07-13
0.0,1,PPI m/m,Bad,22,11,11,50.0,50.0,1.0,2018-04-06_2018-04-10|2018-07-10_2018-07-14|2019-04-11_2019-04-15|2020-08-08_2020-08-12|2021-04-05_2021-04-09|2022-10-12_2022-10-16|2023-02-14_2023-02-18|2023-08-08_2023-08-12|2024-07-08_2024-07-12|2024-12-10_2024-12-14|2025-08-12_2025-08-16|2018-06-10_2018-06-14|2019-11-12_2019-11-16|2020-02-15_2020-02-19|2020-06-09_2020-06-13|2021-08-08_2021-08-12|2022-02-14_2022-02-18|2023-10-07_2023-10-11|2024-05-14_2024-05-18|2026-02-23_2026-02-27|2021-06-14_2021-06-18|2025-02-13_2025-02-17
0.0,1,PPI m/m,Neutral,7,4,3,57.1,42.9,1.33,2018-10-08_2018-10-12|2018-02-15_2018-02-19|2019-06-10_2019-06-14|2020-12-11_2020-12-15|2023-12-11_2023-12-15|2022-06-14_2022-06-18|2022-09-12_2022-09-16
0.0,1,PPI m/m,Good,12,6,6,50.0,50.0,1.0,2019-02-10_2019-02-14|2019-10-08_2019-10-12|2021-01-15_2021-01-19|2022-08-08_2022-08-12|2023-07-09_2023-07-13|2024-06-13_2024-06-17|2024-10-11_2024-10-15|2025-01-14_2025-01-18|2025-07-13_2025-07-17|2025-09-06_2025-09-10|2025-03-10_2025-03-14|2025-05-14_2025-05-18
0.1,1,PPI m/m,Bad,19,9,10,47.4,52.6,0.9,2018-04-06_2018-04-10|2019-04-11_2019-04-15|2020-08-08_2020-08-12|2021-04-05_2021-04-09|2022-10-12_2022-10-16|2023-02-14_2023-02-18|2024-12-10_2024-12-14|2025-08-12_2025-08-16|2018-06-10_2018-06-14|2019-11-12_2019-11-16|2020-02-15_2020-02-19|2020-06-09_2020-06-13|2021-08-08_2021-08-12|2022-02-14_2022-02-18|2023-10-07_2023-10-11|2024-05-14_2024-05-18|2026-02-23_2026-02-27|2021-06-14_2021-06-18|2025-02-13_2025-02-17
0.1,1,PPI m/m,Neutral,12,6,6,50.0,50.0,1.0,2018-07-10_2018-07-14|2018-10-08_2018-10-12|2023-07-09_2023-07-13|2023-08-08_2023-08-12|2024-07-08_2024-07-12|2024-10-11_2024-10-15|2018-02-15_2018-02-19|2019-06-10_2019-06-14|2020-12-11_2020-12-15|2023-12-11_2023-12-15|2022-06-14_2022-06-18|2022-09-12_2022-09-16
0.1,1,PPI m/m,Good,10,6,4,60.0,40.0,1.5,2019-02-10_2019-02-14|2019-10-08_2019-10-12|2021-01-15_2021-01-19|2022-08-08_2022-08-12|2024-06-13_2024-06-17|2025-01-14_2025-01-18|2025-07-13_2025-07-17|2025-09-06_2025-09-10|2025-03-10_2025-03-14|2025-05-14_2025-05-18
