آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.3,1,FOMC,Neutral,7,6,1,85.7,14.3,6.0,2021-12-11_2021-12-25|2022-09-14_2022-09-28|2023-09-14_2023-09-28|2024-12-12_2024-12-26|2025-01-16_2025-01-30|2025-07-16_2025-07-30|2025-09-12_2025-09-26
0.0,2,PPI m/m|Core PPI m/m,Bad|Bad,4,2,2,50.0,50.0,1.0,2021-12-11_2021-12-25|2024-07-12_2024-07-26|2025-08-13_2025-08-27|2026-02-14_2026-02-28
0.0,2,PPI m/m|Core PPI m/m,Neutral|Bad,1,1,0,100.0,0.0,inf,2022-09-14_2022-09-28
0.0,2,PPI m/m|Core PPI m/m,Bad|Neutral,2,2,0,100.0,0.0,inf,2023-09-14_2023-09-28|2024-12-12_2024-12-26
0.0,2,PPI m/m|Core PPI m/m,Good|Good,4,2,2,50.0,50.0,1.0,2024-01-12_2024-01-26|2024-06-13_2024-06-27|2025-05-14_2025-05-28|2025-07-16_2025-07-30
0.0,2,PPI m/m|Core PPI m/m,Good|Neutral,1,1,0,100.0,0.0,inf,2024-10-11_2024-10-25
0.1,2,PPI m/m|Core PPI m/m,Bad|Bad,3,2,1,66.7,33.3,2.0,2021-12-11_2021-12-25|2025-08-13_2025-08-27|2026-02-14_2026-02-28
0.1,2,PPI m/m|Core PPI m/m,Neutral|Bad,2,1,1,50.0,50.0,1.0,2022-09-14_2022-09-28|2024-07-12_2024-07-26
0.1,2,PPI m/m|Core PPI m/m,Bad|Neutral,2,2,0,100.0,0.0,inf,2023-09-14_2023-09-28|2024-12-12_2024-12-26
0.1,2,PPI m/m|Core PPI m/m,Good|Good,4,2,2,50.0,50.0,1.0,2024-01-12_2024-01-26|2024-06-13_2024-06-27|2025-05-14_2025-05-28|2025-07-16_2025-07-30
0.1,2,PPI m/m|Core PPI m/m,Neutral|Neutral,1,1,0,100.0,0.0,inf,2024-10-11_2024-10-25
0.2,2,PPI m/m|Core PPI m/m,Bad|Bad,2,1,1,50.0,50.0,1.0,2021-12-11_2021-12-25|2025-08-13_2025-08-27
0.2,2,PPI m/m|Core PPI m/m,Neutral|Neutral,6,3,3,50.0,50.0,1.0,2022-09-14_2022-09-28|2024-01-12_2024-01-26|2024-07-12_2024-07-26|2024-10-11_2024-10-25|2024-12-12_2024-12-26|2025-07-16_2025-07-30
0.2,2,PPI m/m|Core PPI m/m,Bad|Neutral,1,1,0,100.0,0.0,inf,2023-09-14_2023-09-28
0.2,2,PPI m/m|Core PPI m/m,Good|Good,2,2,0,100.0,0.0,inf,2024-06-13_2024-06-27|2025-05-14_2025-05-28
0.2,2,PPI m/m|Core PPI m/m,Neutral|Bad,1,1,0,100.0,0.0,inf,2026-02-14_2026-02-28
0.3,2,PPI m/m|Core PPI m/m,Bad|Neutral,1,1,0,100.0,0.0,inf,2021-12-11_2021-12-25
0.3,2,PPI m/m|Core PPI m/m,Neutral|Neutral,7,4,3,57.1,42.9,1.33,2022-09-14_2022-09-28|2023-09-14_2023-09-28|2024-01-12_2024-01-26|2024-07-12_2024-07-26|2024-10-11_2024-10-25|2024-12-12_2024-12-26|2025-07-16_2025-07-30
0.3,2,PPI m/m|Core PPI m/m,Good|Neutral,1,1,0,100.0,0.0,inf,2024-06-13_2024-06-27
0.3,2,PPI m/m|Core PPI m/m,Good|Good,1,1,0,100.0,0.0,inf,2025-05-14_2025-05-28
0.3,2,PPI m/m|Core PPI m/m,Bad|Bad,1,0,1,0.0,100.0,0.0,2025-08-13_2025-08-27
0.3,2,PPI m/m|Core PPI m/m,Neutral|Bad,1,1,0,100.0,0.0,inf,2026-02-14_2026-02-28
0.0,2,PPI m/m|FOMC,Bad|Neutral,3,3,0,100.0,0.0,inf,2021-12-11_2021-12-25|2023-09-14_2023-09-28|2024-12-12_2024-12-26
0.0,2,PPI m/m|FOMC,Neutral|Neutral,1,1,0,100.0,0.0,inf,2022-09-14_2022-09-28
0.0,2,PPI m/m|FOMC,Good|Neutral,1,0,1,0.0,100.0,0.0,2025-07-16_2025-07-30
0.1,2,PPI m/m|FOMC,Bad|Neutral,3,3,0,100.0,0.0,inf,2021-12-11_2021-12-25|2023-09-14_2023-09-28|2024-12-12_2024-12-26
0.1,2,PPI m/m|FOMC,Neutral|Neutral,1,1,0,100.0,0.0,inf,2022-09-14_2022-09-28
0.1,2,PPI m/m|FOMC,Good|Neutral,1,0,1,0.0,100.0,0.0,2025-07-16_2025-07-30
0.2,2,PPI m/m|FOMC,Bad|Neutral,2,2,0,100.0,0.0,inf,2021-12-11_2021-12-25|2023-09-14_2023-09-28
