آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,CPI m/m,Good,1,1,0,100.0,0.0,inf,2022-12-10_2022-12-19
0.1,1,CPI m/m,Good,1,1,0,100.0,0.0,inf,2022-12-10_2022-12-19
0.2,1,CPI m/m,Neutral,1,1,0,100.0,0.0,inf,2022-12-10_2022-12-19
0.3,1,CPI m/m,Neutral,1,1,0,100.0,0.0,inf,2022-12-10_2022-12-19
0.0,1,Core CPI m/m,Good,1,1,0,100.0,0.0,inf,2022-12-10_2022-12-19
0.1,1,Core CPI m/m,Neutral,1,1,0,100.0,0.0,inf,2022-12-10_2022-12-19
0.2,1,Core CPI m/m,Neutral,1,1,0,100.0,0.0,inf,2022-12-10_2022-12-19
0.3,1,Core CPI m/m,Neutral,1,1,0,100.0,0.0,inf,2022-12-10_2022-12-19
0.0,1,FOMC,Neutral,5,4,1,80.0,20.0,4.0,2021-06-16_2021-06-25|2022-12-10_2022-12-19|2023-03-16_2023-03-25|2023-09-15_2023-09-24|2024-03-15_2024-03-24
0.1,1,FOMC,Neutral,5,4,1,80.0,20.0,4.0,2021-06-16_2021-06-25|2022-12-10_2022-12-19|2023-03-16_2023-03-25|2023-09-15_2023-09-24|2024-03-15_2024-03-24
0.2,1,FOMC,Neutral,5,4,1,80.0,20.0,4.0,2021-06-16_2021-06-25|2022-12-10_2022-12-19|2023-03-16_2023-03-25|2023-09-15_2023-09-24|2024-03-15_2024-03-24
0.3,1,FOMC,Neutral,5,4,1,80.0,20.0,4.0,2021-06-16_2021-06-25|2022-12-10_2022-12-19|2023-03-16_2023-03-25|2023-09-15_2023-09-24|2024-03-15_2024-03-24
0.0,1,CPI y/y,Good,1,1,0,100.0,0.0,inf,2022-12-10_2022-12-19
0.1,1,CPI y/y,Good,1,1,0,100.0,0.0,inf,2022-12-10_2022-12-19
0.2,1,CPI y/y,Good,1,1,0,100.0,0.0,inf,2022-12-10_2022-12-19
0.3,1,CPI y/y,Neutral,1,1,0,100.0,0.0,inf,2022-12-10_2022-12-19
0.0,2,CPI m/m|Core CPI m/m,Good|Good,1,1,0,100.0,0.0,inf,2022-12-10_2022-12-19
0.1,2,CPI m/m|Core CPI m/m,Good|Neutral,1,1,0,100.0,0.0,inf,2022-12-10_2022-12-19
0.2,2,CPI m/m|Core CPI m/m,Neutral|Neutral,1,1,0,100.0,0.0,inf,2022-12-10_2022-12-19
0.3,2,CPI m/m|Core CPI m/m,Neutral|Neutral,1,1,0,100.0,0.0,inf,2022-12-10_2022-12-19
0.0,2,CPI m/m|FOMC,Good|Neutral,1,1,0,100.0,0.0,inf,2022-12-10_2022-12-19
0.1,2,CPI m/m|FOMC,Good|Neutral,1,1,0,100.0,0.0,inf,2022-12-10_2022-12-19
0.2,2,CPI m/m|FOMC,Neutral|Neutral,1,1,0,100.0,0.0,inf,2022-12-10_2022-12-19
0.3,2,CPI m/m|FOMC,Neutral|Neutral,1,1,0,100.0,0.0,inf,2022-12-10_2022-12-19
0.0,2,CPI m/m|CPI y/y,Good|Good,1,1,0,100.0,0.0,inf,2022-12-10_2022-12-19
0.1,2,CPI m/m|CPI y/y,Good|Good,1,1,0,100.0,0.0,inf,2022-12-10_2022-12-19
0.2,2,CPI m/m|CPI y/y,Neutral|Good,1,1,0,100.0,0.0,inf,2022-12-10_2022-12-19
0.3,2,CPI m/m|CPI y/y,Neutral|Neutral,1,1,0,100.0,0.0,inf,2022-12-10_2022-12-19
0.0,2,Core CPI m/m|FOMC,Good|Neutral,1,1,0,100.0,0.0,inf,2022-12-10_2022-12-19
0.1,2,Core CPI m/m|FOMC,Neutral|Neutral,1,1,0,100.0,0.0,inf,2022-12-10_2022-12-19
0.2,2,Core CPI m/m|FOMC,Neutral|Neutral,1,1,0,100.0,0.0,inf,2022-12-10_2022-12-19
0.3,2,Core CPI m/m|FOMC,Neutral|Neutral,1,1,0,100.0,0.0,inf,2022-12-10_2022-12-19
0.0,2,Core CPI m/m|CPI y/y,Good|Good,1,1,0,100.0,0.0,inf,2022-12-10_2022-12-19
0.1,2,Core CPI m/m|CPI y/y,Neutral|Good,1,1,0,100.0,0.0,inf,2022-12-10_2022-12-19
0.2,2,Core CPI m/m|CPI y/y,Neutral|Good,1,1,0,100.0,0.0,inf,2022-12-10_2022-12-19
0.3,2,Core CPI m/m|CPI y/y,Neutral|Neutral,1,1,0,100.0,0.0,inf,2022-12-10_2022-12-19
0.0,2,FOMC|CPI y/y,Neutral|Good,1,1,0,100.0,0.0,inf,2022-12-10_2022-12-19
0.1,2,FOMC|CPI y/y,Neutral|Good,1,1,0,100.0,0.0,inf,2022-12-10_2022-12-19
0.2,2,FOMC|CPI y/y,Neutral|Good,1,1,0,100.0,0.0,inf,2022-12-10_2022-12-19
0.3,2,FOMC|CPI y/y,Neutral|Neutral,1,1,0,100.0,0.0,inf,2022-12-10_2022-12-19
